Gene ID	Illumina ID	
10905	ILMN_2075507 [Chip: ]; ILMN_1755120 [Chip: ]; 0001770373 [Chip: ]	
10919	ILMN_1751081 [Chip: ]; 0006370112 [Chip: ]; 0002340390 [Chip: ]; ILMN_1700791 [Chip: ]	
10935	-	
10948	ILMN_1657095 [Chip: ]; 0002650114 [Chip: ]	
10965	ILMN_2188959 [Chip: ]; ILMN_1716237 [Chip: ]; 0005080280 [Chip: ]	
10975	ILMN_1745049 [Chip: ]; 0007040725 [Chip: ]	
10991	0001230047 [Chip: ]; 0106180333 [Chip: ]; ILMN_1672382 [Chip: ]	
10993	ILMN_1811114 [Chip: ]; 0004480026 [Chip: ]	
10998	ILMN_1725366 [Chip: ]; 0006200538 [Chip: ]	
10999	ILMN_1655039 [Chip: ]; 0003290451 [Chip: ]	
11000	0001340162 [Chip: ]; ILMN_1756086 [Chip: ]; 0005340180 [Chip: ]; ILMN_1719627 [Chip: ]	
11001	0002640315 [Chip: ]; ILMN_1700831 [Chip: ]	
1103	ILMN_1796939 [Chip: ]; 0000050056 [Chip: ]; ILMN_1775997 [Chip: ]; ILMN_1768856 [Chip: ]; ILMN_1711347 [Chip: ]; 0004280037 [Chip: ]	
11041	ILMN_1782918 [Chip: ]; ILMN_3246214 [Chip: ]; 0007000403 [Chip: ]; ILMN_1715384 [Chip: ]	
11046	0002900008 [Chip: ]; ILMN_1706571 [Chip: ]; 0006660128 [Chip: ]	
1109	ILMN_1668880 [Chip: ]; 0000460398 [Chip: ]; ILMN_1687757 [Chip: ]	
111	0005570121 [Chip: ]; ILMN_1708588 [Chip: ]	
11112	0001400347 [Chip: ]; ILMN_1804150 [Chip: ]	
11136	0006660368 [Chip: ]; ILMN_1735445 [Chip: ]	
11164	ILMN_1867418 [Chip: ]	
1118	ILMN_3249477 [Chip: ]	
11181	ILMN_1661003 [Chip: ]	
11182	ILMN_1778321 [Chip: ]; 0001740750 [Chip: ]	
11185	ILMN_1781149 [Chip: ]; 0003360671 [Chip: ]	
1119	ILMN_1687429 [Chip: ]; ILMN_1658504 [Chip: ]; ILMN_1691151 [Chip: ]; ILMN_1812380 [Chip: ]	
112	0000070541 [Chip: ]; 0000070463 [Chip: ]; ILMN_1685156 [Chip: ]; ILMN_2311674 [Chip: ]	
1120	ILMN_1689711 [Chip: ]; ILMN_1662144 [Chip: ]; ILMN_1681399 [Chip: ]; 0002350079 [Chip: ]	
11212	0006040487 [Chip: ]; ILMN_1748908 [Chip: ]	
11226	0001170242 [Chip: ]; ILMN_1677574 [Chip: ]	
11227	ILMN_1658575 [Chip: ]; 0004280647 [Chip: ]	
11238	0004540687 [Chip: ]; ILMN_1672807 [Chip: ]	
112483	ILMN_1746883 [Chip: ]; 0001780338 [Chip: ]	
11253	ILMN_1771957 [Chip: ]; 0000780593 [Chip: ]	
11254	ILMN_1706813 [Chip: ]; ILMN_1745770 [Chip: ]; 0002640576 [Chip: ]	
112611	ILMN_1829362 [Chip: ]; 0006760170 [Chip: ]; ILMN_1722156 [Chip: ]	
112724	ILMN_1660723 [Chip: ]; 0004230446 [Chip: ]; 0107100452 [Chip: ]	
