PROBE_ID	cal27_1	cal27_2	cal27_3
ILMN_1653165	9.47992	9.48869	9.54977
ILMN_1729835	3.51971	4.08525	4.07974
ILMN_1662364	12.3814	12.5118	12.5498
ILMN_1674698	8.25551	8.6259	8.505
ILMN_1700461	9.3007	9.49975	9.54333
ILMN_1784269	6.22717	6.54813	5.89651
ILMN_1698189	7.08881	7.28524	7.38698
ILMN_2096191	8.98846	8.82446	8.64674
ILMN_1678323	6.62907	6.76066	6.66336
ILMN_2157219	5.70065	6.2203	6.10225
ILMN_1703743	9.86752	10.0034	10.4241
ILMN_1687609	5.58663	5.31733	5.17429
ILMN_2068874	4.61312	4.68442	4.98772
ILMN_1699334	6.35454	6.4641	6.55704
ILMN_1670117	5.48135	5.26065	4.83738
ILMN_1805104	4.79229	4.86743	4.50344
ILMN_2404407	4.43851	4.77254	4.99049
ILMN_1766054	7.40363	7.84202	7.53281
ILMN_1753388	4.49152	5.34236	4.97033
ILMN_2070570	4.94722	5.70613	5.20764
ILMN_2232084	6.43152	6.1766	6.19305
ILMN_1750250	4.31004	4.16249	5.05697
ILMN_2361400	5.57531	5.07735	5.01395
ILMN_1704579	4.27208	4.43765	4.21944
ILMN_1687636	4.75034	5.22984	4.61447
ILMN_1747627	5.86646	6.34693	5.93309
ILMN_1758523	5.03488	5.5414	5.01389
ILMN_1794965	5.23393	5.22552	4.9523
ILMN_1722286	4.92661	4.45738	4.49418
ILMN_1784176	4.47204	4.87069	4.50337
ILMN_1749001	4.52133	4.04294	4.41733
ILMN_1701551	5.18695	4.55681	4.19639
ILMN_1795507	4.92771	5.66645	5.71762
ILMN_1729894	4.36631	4.53525	5.41133
ILMN_1743205	6.88814	7.04935	7.06066
ILMN_2259319	5.35512	4.97229	4.64509
ILMN_2129886	4.96144	5.33243	4.96511
ILMN_1796801	5.06613	5.65725	5.62136
ILMN_1720501	6.07596	5.78496	5.23226
ILMN_1668446	5.33907	4.55371	3.83281
ILMN_1812070	5.2509	5.18094	4.9618
ILMN_2094875	4.58138	3.59178	1.79941
ILMN_1665730	8.12063	8.37146	8.54269
ILMN_2232066	5.37679	5.81004	5.59735
ILMN_1767349	4.98836	4.40929	4.50364
ILMN_1658257	4.45518	4.38057	4.09965
ILMN_2193980	8.65843	8.62509	8.55279
ILMN_1687840	8.47485	8.39715	8.74003
ILMN_2102422	6.16458	5.85431	5.88197
ILMN_1788928	5.71478	5.21949	5.15606
ILMN_2343047	7.28139	7.34304	7.26817
ILMN_2343048	8.61761	8.8935	8.71423
ILMN_2335302	5.96377	5.17466	5.86493
ILMN_1802404	6.28342	5.71524	6.05679
ILMN_1776119	6.62682	6.86527	6.18305
ILMN_2358714	4.39153	4.72857	4.04846
ILMN_1732140	5.60966	5.21346	5.61313
ILMN_1713008	4.94133	4.56243	4.73901
ILMN_1762093	4.53212	4.48419	4.09721
ILMN_1709092	4.24278	4.55881	4.43325
ILMN_1678409	4.77209	4.99019	4.92941
ILMN_1774344	5.38256	5.6585	5.44809
ILMN_1676278	4.82468	4.95902	3.75772
ILMN_1717466	5.40051	5.51011	5.47267
ILMN_1677814	8.27924	8.39444	7.92809
ILMN_1788457	7.90054	7.61171	7.68578
ILMN_2194009	7.75609	7.69232	7.29481
ILMN_2302358	4.96735	4.87822	4.76982
ILMN_1706531	8.35153	8.12541	8.0458
ILMN_1651964	8.065	7.73775	7.2651
ILMN_1725675	5.10944	4.63828	5.00007
ILMN_1778352	4.49286	4.93783	4.41664
ILMN_1725414	5.05367	5.0997	4.78911
ILMN_2293902	5.37038	5.30728	5.26163
ILMN_1801521	5.30263	4.69498	4.77497
ILMN_2406654	5.41368	5.19807	5.20885
ILMN_3246902	4.88988	4.91019	4.92869
ILMN_3244070	5.8959	5.29263	5.87329
ILMN_1767129	4.37901	4.48444	4.46464
ILMN_1746196	5.09617	5.50076	5.17422
ILMN_2366473	5.71735	5.97015	5.42318
ILMN_1751453	4.36734	5.22724	4.5939
ILMN_1772189	6.46767	6.46684	5.7657
ILMN_1652959	4.93371	4.83759	4.73345
ILMN_2198897	4.51946	4.40307	4.41548
ILMN_1674032	7.71803	7.94746	8.16965
ILMN_1737656	5.62683	5.41969	5.9269
ILMN_2343917	4.64324	4.68348	5.11234
ILMN_1746032	4.93592	5.49377	5.49551
ILMN_1651501	5.2796	4.59314	4.62845
ILMN_2330267	9.82098	9.45713	9.56204
ILMN_1676846	9.55031	9.31944	9.13393
ILMN_2392635	9.75743	9.772	9.90921
ILMN_1763875	11.5008	11.3094	11.5639
ILMN_2284941	4.61995	5.16824	4.19544
ILMN_1781999	9.0762	9.2883	9.41085
ILMN_1669201	7.05281	7.21565	7.55681
ILMN_1810085	7.37505	7.46251	7.54179
ILMN_2262362	5.3894	5.28489	5.04344
ILMN_1743638	4.7718	4.69475	5.14092
ILMN_1658176	6.47255	6.64414	6.37462
ILMN_2329927	5.25001	5.33638	4.87123
ILMN_1794782	6.49132	6.96329	6.8317
ILMN_1695968	5.03634	5.64271	5.06092
ILMN_1789641	4.78037	4.77908	4.80527
ILMN_1779470	5.23282	5.74909	5.25715
ILMN_1716592	4.66643	5.32514	5.18566
ILMN_1680309	5.02971	4.97543	5.2838
ILMN_1743371	5.21233	5.49663	4.79289
ILMN_1770031	9.36794	9.03872	9.24121
ILMN_2338268	7.24419	6.92163	7.51409
ILMN_1753912	4.94009	5.25655	5.56124
ILMN_1737475	6.92661	6.6504	7.00765
ILMN_1745116	8.49954	8.75644	8.45499
ILMN_2318685	7.99967	7.84998	7.73618
ILMN_2245305	8.31008	7.94057	7.94715
ILMN_1707925	5.39918	5.24715	5.79753
ILMN_1698311	5.93309	4.37923	5.42758
ILMN_2367487	4.42367	4.77514	4.46832
ILMN_1785285	5.27886	5.36112	5.16754
ILMN_2073969	4.99817	4.38565	4.38922
ILMN_1794213	6.56421	7.04464	7.34224
ILMN_2227533	6.15079	6.4253	6.34417
ILMN_1769390	6.90698	6.99739	6.2743
ILMN_2403446	6.62422	6.6818	6.55933
ILMN_1787618	4.43008	4.10958	5.44316
ILMN_1723662	6.9747	7.01542	7.33438
ILMN_1801767	8.27171	8.74191	7.8164
ILMN_1700633	7.67377	7.99112	8.12409
ILMN_1655702	7.44778	7.65564	7.00923
ILMN_1706344	7.80823	7.43186	7.60654
ILMN_1719498	7.33116	7.40861	7.14243
ILMN_1712707	7.7017	7.74318	7.81473
ILMN_1699750	4.91279	5.09959	5.00988
ILMN_1739081	5.60056	5.42235	5.595
ILMN_2329958	7.98917	8.2873	8.2873
ILMN_1775944	6.69549	6.67383	6.85801
ILMN_1724497	8.26822	8.77212	8.67011
ILMN_1720988	6.02022	6.49777	6.56612
ILMN_1707274	4.93569	5.09456	5.13449
ILMN_1755658	4.99463	3.99158	5.14166
ILMN_1673639	5.48758	6.52542	5.92347
ILMN_1713732	9.40688	9.08205	9.44795
ILMN_1708922	5.60074	5.83514	5.52949
ILMN_2268241	5.76891	5.65646	5.18384
ILMN_1741628	5.267	5.24911	5.85018
ILMN_1657870	5.7149	5.82151	5.41496
ILMN_2240003	5.10619	5.51849	5.46303
ILMN_1785424	9.42014	9.42014	9.92069
ILMN_1731610	7.10069	5.43918	6.37411
ILMN_1696682	4.90362	5.22757	3.95157
ILMN_2396672	7.96274	7.93368	8.27447
ILMN_1758825	5.43279	5.29234	4.74791
ILMN_1656940	5.67404	5.60863	5.84125
ILMN_1656979	4.82013	5.31272	4.23189
ILMN_1731433	4.31606	4.71427	4.70514
ILMN_1672878	9.95945	9.92974	9.96567
ILMN_1655114	5.16111	5.25233	4.66687
ILMN_1657045	4.61156	5.00186	4.75639
ILMN_1766991	4.45482	4.31071	4.60958
ILMN_1658083	6.68151	6.53605	5.97941
ILMN_1802096	5.78897	6.5296	6.05593
ILMN_2367165	5.19126	5.60344	4.92402
ILMN_1753370	7.74112	7.56788	7.83263
ILMN_1738921	8.99662	8.79178	8.92184
ILMN_1660199	5.4994	5.34782	4.92927
ILMN_2331636	10.4408	10.4678	10.4673
ILMN_1772123	10.1353	10.2591	10.5907
ILMN_1667641	4.391	4.09526	4.49775
ILMN_1763852	4.19183	4.80766	4.96336
ILMN_1687303	7.26069	7.38845	7.13883
ILMN_1761058	8.79738	8.33841	7.9703
ILMN_2225595	7.40861	7.15272	7.26355
ILMN_1724699	5.21646	4.90665	5.08721
ILMN_1775579	9.85258	9.94592	10.1125
ILMN_1660890	5.06007	4.66539	5.08353
ILMN_1778104	9.69887	9.61817	9.45404
ILMN_2053679	10.4771	10.5054	9.77764
ILMN_1795104	5.90998	5.58808	5.0812
ILMN_1740920	5.58294	5.3497	5.43929
ILMN_2263466	6.7471	6.33184	6.5989
ILMN_1806408	11.9568	11.946	11.9296
ILMN_2352009	8.81622	9.03488	9.29926
ILMN_1693148	4.13522	3.48862	4.0986
ILMN_1808395	4.93353	4.60129	4.37032
ILMN_3236270	7.46059	7.54437	7.58503
ILMN_1743847	5.16627	5.65834	5.07529
ILMN_1800008	9.71803	10.2976	10.1834
ILMN_2133799	5.96799	6.5051	5.89605
ILMN_1708672	11.6743	11.6619	11.6942
ILMN_1665945	9.56949	9.31503	9.3007
ILMN_1676288	4.777	6.04269	5.74928
ILMN_1693250	5.63431	5.77067	5.88032
ILMN_2295980	4.30298	4.3639	4.90835
ILMN_2410362	4.45489	4.74742	4.93043
ILMN_1684271	8.69797	8.76132	9.13852
ILMN_1726388	6.62135	6.57525	6.52846
ILMN_2106002	4.7363	4.96857	5.26749
ILMN_1779685	3.25841	4.13325	4.90476
ILMN_1665932	4.27647	5.12515	5.5431
ILMN_1769694	5.24574	5.40522	4.71293
ILMN_1727251	5.02234	4.91585	3.83048
ILMN_1734479	4.8321	5.29046	5.59798
ILMN_2368728	4.0645	4.5221	4.99701
ILMN_2394897	4.47687	5.34949	4.55702
ILMN_2394902	4.40017	4.17417	4.87423
ILMN_2287535	4.34054	4.98946	4.83068
ILMN_1750295	5.09982	5.18919	5.28471
ILMN_3187680	8.40071	8.15302	8.02727
ILMN_3242266	4.93466	4.80703	5.40047
ILMN_1780630	5.65459	5.42436	5.30594
ILMN_1716480	9.16744	9.51707	9.3274
ILMN_1715192	5.29971	4.99324	5.48991
ILMN_2339410	4.63931	4.07519	3.62259
ILMN_1779984	4.98555	4.7508	5.07816
ILMN_1667018	6.17009	6.62939	6.50346
ILMN_1773243	4.44858	4.45577	4.56036
ILMN_3241214	5.25062	4.76856	5.18736
ILMN_3235340	5.97115	6.52246	6.21824
ILMN_1761000	4.70725	5.35512	4.86117
ILMN_3237774	7.2143	7.24474	7.45775
ILMN_2333219	4.55076	4.71468	4.96731
ILMN_1780485	5.43867	4.74211	5.15406
ILMN_1735471	5.29853	5.38989	5.26594
ILMN_1699636	8.92516	8.7773	8.62825
ILMN_2371379	11.1427	10.7631	11.2047
ILMN_1749014	9.8981	9.80733	9.31069
ILMN_1727091	4.72575	5.1616	4.44037
ILMN_1771348	7.76775	7.90145	7.27675
ILMN_2134039	8.94173	9.0446	8.28516
ILMN_1750800	11.0749	11.2139	11.0139
ILMN_1654861	9.40939	9.46934	9.51445
ILMN_2121389	5.34776	5.47587	5.43791
ILMN_1715543	5.15882	5.85909	6.03093
ILMN_1739594	7.14811	7.24537	6.99455
ILMN_2353978	5.91815	5.60681	5.54499
ILMN_1785474	4.9506	4.58656	4.70117
ILMN_2188959	4.95152	5.16337	3.89111
ILMN_1716237	6.221	6.26253	6.54356
ILMN_1764321	7.54179	7.57416	7.57823
ILMN_2156699	4.46849	5.06345	5.00069
ILMN_1784756	4.89495	4.98423	4.81628
ILMN_1728883	5.43977	5.88093	5.4217
ILMN_1740265	11.7377	12.0252	12.1322
ILMN_1788078	5.17608	5.15246	4.95207
ILMN_2252621	4.57399	4.63515	5.11012
ILMN_2332250	10.528	10.7143	10.8004
ILMN_1719178	4.72568	5.15104	5.00729
ILMN_1679600	7.69724	7.8415	7.59359
ILMN_2367070	8.76731	8.52212	8.39149
ILMN_1658995	9.46706	9.35715	9.19559
ILMN_1750158	8.20177	7.9492	7.98483
ILMN_1668839	4.44751	4.13522	5.06419
ILMN_1765767	4.58771	4.37793	4.68244
ILMN_1685703	4.90938	5.40687	4.0992
ILMN_1743396	6.86506	6.81624	6.57994
ILMN_1743680	4.65175	5.06676	4.75669
ILMN_1669633	10.1459	10.0221	10.1812
ILMN_2344956	11.7923	11.8794	11.679
ILMN_2104830	9.11345	9.00496	8.53964
ILMN_2078599	7.7838	7.64185	7.79024
ILMN_2234343	7.72812	7.81085	7.79525
ILMN_1706598	5.49258	5.54036	6.24156
ILMN_2306955	5.17033	5.6176	5.47218
ILMN_1758323	6.61999	7.08334	6.5183
ILMN_1728331	5.67446	5.73673	6.24857
ILMN_2351906	5.07189	5.11817	5.22625
ILMN_1705637	5.5257	4.99075	4.82262
ILMN_1784203	4.75084	4.23331	4.95536
ILMN_1666690	5.40552	5.2633	5.77675
ILMN_1654468	5.32157	5.02497	5.22662
ILMN_2320277	4.39256	4.68608	4.32663
ILMN_2227011	5.19839	5.45884	5.39261
ILMN_1730002	3.85439	3.77542	4.12377
ILMN_3236756	7.89516	7.86812	7.55834
ILMN_1716832	5.60332	5.66173	5.15142
ILMN_1684585	7.07189	7.54626	7.21236
ILMN_2360705	11.1033	10.9592	11.0362
ILMN_1654414	7.89279	6.9953	7.2992
ILMN_1666096	8.25061	7.86559	7.89661
ILMN_2391458	6.67233	5.80788	6.46971
ILMN_2285506	5.31341	4.35242	4.858
ILMN_1691714	4.74539	3.64882	4.0959
ILMN_1683598	8.87608	9.02086	8.73709
ILMN_2370882	6.4586	6.61033	6.0333
ILMN_2273911	4.98113	5.08546	5.22945
ILMN_1807914	3.61893	3.95385	3.92793
ILMN_1678517	4.07519	5.02673	4.86246
ILMN_1705247	8.51541	8.54571	8.40103
ILMN_1737418	4.55841	5.28566	5.15655
ILMN_2278242	4.66809	4.38832	4.87334
ILMN_1730025	4.72298	4.04574	4.37811
ILMN_2378555	4.7419	4.81403	4.40796
ILMN_1661434	4.61939	4.02586	4.46589
ILMN_1809623	4.60757	5.35155	4.32672
ILMN_1657592	4.71673	4.83001	4.64699
ILMN_1765912	5.03194	5.13162	5.58025
ILMN_1746128	5.47518	5.21899	4.36229
ILMN_1685952	5.01944	5.01603	4.95064
ILMN_1662738	4.8379	5.13303	4.32302
ILMN_1771084	5.36493	5.76716	5.22675
ILMN_1791923	4.86255	4.40285	4.89239
ILMN_1801698	4.61531	4.60047	5.43967
ILMN_1766966	4.20795	4.6216	4.81348
ILMN_2070792	4.96886	5.01793	4.51183
ILMN_1752269	5.8667	6.00806	5.70204
ILMN_1697510	5.2969	5.9066	5.82196
ILMN_2254962	4.72659	4.3293	4.71713
ILMN_2336595	10.8624	10.9297	10.8317
ILMN_1714197	11.0398	11.1462	11.2704
ILMN_1742859	4.70899	6.14994	5.14948
ILMN_1659885	5.14762	5.92121	5.74752
ILMN_2125869	5.12322	4.98391	5.20849
ILMN_1671703	6.87645	6.87846	7.055
ILMN_2152131	14.8493	14.6781	14.6262
ILMN_1777296	13.708	13.3783	14.1451
ILMN_2038777	14.0814	13.8259	14.0814
ILMN_3246895	5.29445	5.33204	5.79412
ILMN_1658660	4.64976	4.44417	4.79756
ILMN_1829919	5.37849	4.95662	4.70355
ILMN_2053178	14.5462	14.7494	14.6837
ILMN_1704961	12.4833	12.2294	12.6469
ILMN_1795325	4.31978	5.17555	5.08279
ILMN_1749297	11.5708	11.5367	11.262
ILMN_2328280	10.9512	10.8776	10.738
ILMN_1657855	4.78387	5.39403	5.07906
ILMN_1717900	4.72559	3.99026	4.31627
ILMN_1796088	4.56671	5.23383	5.3144
ILMN_1704078	5.00551	5.19348	4.60147
ILMN_2232177	11.5431	10.7598	11.8917
ILMN_1654422	5.0092	4.82898	5.18149
ILMN_1665691	4.88717	4.62252	4.6254
ILMN_1725534	10.6615	10.5346	11.3383
ILMN_1798254	9.89657	10.0703	9.68472
ILMN_1792314	10.1045	9.98242	10.1817
ILMN_1695821	8.99305	8.97779	8.94029
ILMN_2388605	11.3309	11.0982	11.7269
ILMN_1657153	9.67179	9.71208	9.35579
ILMN_2260392	5.71009	5.90183	6.42866
ILMN_2346451	4.98881	4.79902	5.36543
ILMN_1787513	5.8023	5.46242	5.1451
ILMN_1680941	4.87334	5.35181	5.05807
ILMN_1652594	7.91961	8.27566	8.35974
ILMN_1697585	9.50441	9.44164	9.0242
ILMN_1689162	6.7592	6.3541	6.54715
ILMN_1815392	6.29727	6.44762	6.07173
ILMN_3241416	4.99	4.50002	4.53243
ILMN_1760490	8.94143	9.18883	8.68486
ILMN_1786544	5.17445	4.62078	5.18391
ILMN_1763916	5.12384	4.86124	5.03915
ILMN_2243308	9.09403	8.92795	8.96975
ILMN_1766723	5.53203	5.01684	4.87721
ILMN_1689217	5.29255	5.44374	4.98647
ILMN_1670912	4.79538	5.7468	5.09782
ILMN_2152711	6.29424	6.15753	6.53331
ILMN_1668983	5.11751	4.06627	4.94209
ILMN_1824337	5.05797	4.51954	4.32572
ILMN_1807493	4.19778	4.08302	3.9566
ILMN_3250257	4.27678	4.37407	4.53402
ILMN_1683883	7.87147	7.95266	7.96274
ILMN_1670193	5.49659	5.9843	5.7495
ILMN_2319825	8.94226	8.72835	8.60322
ILMN_1694233	9.51223	9.59854	9.24952
ILMN_1686432	6.90029	7.31118	6.96173
ILMN_1697550	6.27621	5.8126	5.77862
ILMN_2158705	6.56768	6.91883	6.5669
ILMN_1803686	10.9851	10.9964	10.8879
ILMN_1745580	4.77611	4.87328	5.51474
ILMN_1745108	3.15493	3.69967	4.38605
ILMN_1725043	5.87136	6.52508	5.9559
ILMN_2148360	6.44529	6.65294	5.82975
ILMN_1718946	7.91825	8.40578	7.8875
ILMN_1711374	4.93381	4.90414	3.98377
ILMN_1726266	4.85387	5.38814	5.28651
ILMN_1705689	4.97178	4.99149	6.01869
ILMN_1785393	5.69307	5.13524	5.1426
ILMN_2384544	9.02171	9.06101	8.95107
ILMN_1756920	11.4662	11.9632	11.8183
ILMN_1799728	7.08378	6.62889	6.23958
ILMN_1751500	7.25285	7.02193	7.08689
ILMN_2121068	9.04625	8.70659	8.59907
ILMN_1765779	6.54089	6.57142	6.90323
ILMN_2201386	4.8494	4.23105	4.70094
ILMN_1682225	4.43313	4.20056	5.16165
ILMN_1788481	4.04797	4.93258	5.53314
ILMN_1713751	6.47529	6.23026	6.23816
ILMN_1662675	5.0701	5.54798	5.17488
ILMN_1737629	4.60708	4.23601	3.96405
ILMN_1812112	5.14103	4.37527	5.01383
ILMN_3241313	4.6235	4.7349	5.1469
ILMN_1675210	5.76779	5.78963	5.98577
ILMN_1706302	5.05533	5.53819	5.03398
ILMN_2351754	4.68045	4.13248	5.48103
ILMN_2060086	4.18156	4.69708	4.55317
ILMN_1664236	4.65836	4.83626	4.70524
ILMN_1664631	5.28481	5.26605	5.57868
ILMN_1802100	4.55943	4.89068	5.10662
ILMN_2194158	4.70432	4.9027	5.09312
ILMN_2100871	4.64692	4.80384	4.40017
ILMN_1806841	5.11396	5.061	5.01659
ILMN_1798045	5.43358	4.91087	4.59021
ILMN_2293012	4.47407	4.53305	4.7265
ILMN_1703383	5.09495	5.61413	4.79558
ILMN_1651657	4.30509	5.14955	5.0165
ILMN_1671297	5.04675	4.9526	5.20054
ILMN_1669486	4.68723	5.58155	4.90239
ILMN_1795204	4.7835	4.94285	4.98909
ILMN_2223911	5.14639	4.74472	4.45094
ILMN_1685531	3.85376	4.92713	5.01949
ILMN_1764554	4.57873	4.36084	4.84117
ILMN_2302214	4.56356	4.30281	4.33621
ILMN_1783312	5.17488	5.26825	4.71035
ILMN_2143210	5.258	5.64157	5.20416
ILMN_1750294	5.12568	5.36153	4.9661
ILMN_1708348	6.66689	7.0478	6.35292
ILMN_1727524	6.40118	6.91961	6.77705
ILMN_1716909	4.42597	4.74689	5.11616
ILMN_2103107	4.77488	5.13486	3.86847
ILMN_1673566	6.51154	5.91332	6.54213
ILMN_1751168	5.17236	4.30759	4.7275
ILMN_1660970	3.99207	3.31904	4.93746
ILMN_1787386	4.16752	4.10941	4.78417
ILMN_2286570	4.87183	3.73094	3.99179
ILMN_2413732	5.3116	5.94628	5.40401
ILMN_1873412	5.32399	5.41419	5.23455
ILMN_1676452	4.71788	4.23056	3.83768
ILMN_2358134	4.90034	4.29651	4.05272
ILMN_1683781	5.39865	5.41645	6.13468
ILMN_1726247	3.82802	4.4225	4.82211
ILMN_1682989	4.77566	4.96973	4.95067
ILMN_1739872	5.07557	5.12879	5.51064
ILMN_1770152	4.0494	4.26615	4.19816
ILMN_1656171	4.32018	4.1071	4.41597
ILMN_1796628	4.85329	5.26941	5.09926
ILMN_1811765	4.18042	4.4794	5.04943
ILMN_1791795	4.80969	4.64006	4.90144
ILMN_1787908	4.31093	4.45862	4.92182
ILMN_1651717	5.47804	5.16564	5.19718
ILMN_1703803	3.65102	5.43297	5.02388
ILMN_2092933	5.45924	5.46031	5.89796
ILMN_1681886	4.5208	4.43493	3.85333
ILMN_1767362	5.41679	5.5855	5.50942
ILMN_3251322	5.11263	4.56256	4.61565
ILMN_2211790	5.35259	5.21031	4.79568
ILMN_1672403	4.74876	5.27886	5.18677
ILMN_1805543	3.82861	4.68414	4.42282
ILMN_1706992	4.82847	4.70852	4.84886
ILMN_1684919	5.05417	5.93343	4.46329
ILMN_1727084	5.4203	4.8748	5.36718
ILMN_1705250	4.57822	4.08197	4.54184
ILMN_1722621	4.55211	4.50823	3.97352
ILMN_1721495	4.69986	5.47616	4.38932
ILMN_1798690	5.06353	5.22281	5.68148
ILMN_1687035	5.28135	5.57565	5.20217
ILMN_1777683	4.47663	4.12252	4.62252
ILMN_1762294	4.57412	4.34918	4.51205
ILMN_1793040	6.25361	5.91905	5.82985
ILMN_3247424	7.0339	7.04225	6.61881
ILMN_1763000	4.28884	4.5962	4.35712
ILMN_1776777	12.0499	12.075	12.2194
ILMN_1706963	5.28617	4.83085	4.95463
ILMN_2320964	10.1842	9.82128	10.4766
ILMN_1697628	4.26732	5.33921	5.06306
ILMN_2319326	5.82929	5.92975	5.55146
ILMN_1657442	5.28315	4.49261	5.2875
ILMN_1679797	7.39916	7.2492	7.09388
ILMN_1749493	5.44522	5.76483	5.21997
ILMN_1657139	8.65091	8.35916	8.33266
ILMN_3245693	5.69035	5.26192	6.19622
ILMN_1806275	6.65195	6.23219	6.29047
ILMN_1659599	4.93582	5.11907	4.17621
ILMN_1698777	6.7897	6.85445	6.72651
ILMN_1663132	9.25816	9.55296	9.36667
ILMN_1700349	6.98759	7.22627	7.02673
ILMN_1761309	7.38188	7.56438	7.02699
ILMN_2120555	6.23637	6.20457	6.5308
ILMN_1742073	4.27703	5.17437	4.49086
ILMN_3241894	4.39831	4.54217	4.95011
ILMN_1810691	5.32992	5.05717	5.08543
ILMN_1676893	10.5599	10.4187	10.2527
ILMN_2148944	4.50082	5.13476	3.88036
ILMN_1708588	4.99054	4.85019	5.01417
ILMN_2311674	6.27345	5.65551	5.21113
ILMN_1685156	6.96006	6.8156	6.49115
ILMN_1655935	6.4407	6.35044	6.31616
ILMN_1754440	5.35655	4.95648	5.05651
ILMN_1654287	6.0485	6.65978	6.4211
ILMN_1763344	3.90005	4.24512	4.26708
ILMN_1711736	4.32005	4.59487	4.90665
ILMN_2356786	7.16307	6.00658	7.09476
ILMN_1759252	10.4925	10.5574	10.6834
ILMN_1678791	4.56896	4.52537	4.06036
ILMN_2336146	4.44552	4.04827	4.3209
ILMN_2286339	4.52586	3.69037	4.39481
ILMN_1694133	5.70335	5.26686	5.51748
ILMN_1678501	4.5639	4.32159	4.92629
ILMN_1787378	6.35385	5.98936	7.05191
ILMN_1814526	9.70865	10.0692	9.91615
ILMN_2311278	8.3259	7.45557	8.6189
ILMN_1764309	4.99386	5.42364	5.237
ILMN_1811598	4.51069	4.84185	5.11379
ILMN_1740717	5.27661	5.35544	5.03838
ILMN_2136010	4.23456	4.7513	5.00246
ILMN_1797912	5.1172	4.43835	4.60298
ILMN_1738604	6.13846	6.62298	5.95782
ILMN_1691175	5.20221	5.19375	5.43452
ILMN_2223359	5.03189	5.21452	4.33912
ILMN_1702858	4.93073	5.30809	5.20744
ILMN_2363634	5.24257	4.61114	5.05242
ILMN_1813975	8.14876	8.16289	8.26875
ILMN_1743331	4.18631	3.65037	4.90322
ILMN_1775045	5.20368	5.69946	5.1763
ILMN_2096322	10.0495	9.84523	9.70938
ILMN_1688322	10.1316	10.0377	10.1715
ILMN_2224833	10.7469	10.5481	10.323
ILMN_2358626	11.3544	11.5157	11.3813
ILMN_1768062	6.75829	6.58722	6.75764
ILMN_2358628	4.97835	5.32844	5.27252
ILMN_1801020	8.39354	8.15711	8.22732
ILMN_1708934	11.5294	11.7137	11.4026
ILMN_1702933	6.04304	6.1219	6.42814
ILMN_1657993	8.97973	9.27083	9.06935
ILMN_1666019	6.58188	5.40584	6.1275
ILMN_2080751	8.36807	8.21813	8.44981
ILMN_1690352	8.44523	8.68747	8.9433
ILMN_2275396	4.62923	4.0103	4.26627
ILMN_2373444	4.23307	4.54201	4.59314
ILMN_1747227	5.7418	5.92425	6.28589
ILMN_1807372	5.71248	5.85338	5.98545
ILMN_1703946	10.3609	10.3518	10.2428
ILMN_1733259	4.5229	4.83493	4.87557
ILMN_1730710	5.13445	5.30092	4.49012
ILMN_1793959	8.96975	8.97595	8.80571
ILMN_1794512	5.13211	5.30266	5.13661
ILMN_1795788	4.34318	4.20323	4.93224
ILMN_1760335	6.25162	6.7247	6.59573
ILMN_1788530	5.65189	5.86029	5.62302
ILMN_1811480	10.5574	10.4565	10.7531
ILMN_1813598	4.61498	4.43343	4.42206
ILMN_1653821	3.93736	4.79707	4.50312
