GENE,PPM
35,19.0
353,165.0
358,21.0
359,nan
36,19.0
361,nan
3612,61.0
3613,4.0
3614,6.0
3615,29.0
362,nan
3620,nan
3628,5.0
3631,1.0
3632,3.0
3633,nan
3635,0.9
3636,0.71
3658,2.0
366,nan
37,55.0
3704,29.0
3706,nan
3707,0.64
3712,47.0
373156,50.0
374291,13.0
374569,nan
374907,nan
375056,2.0
3764,nan
376497,4.0
3767,nan
377677,3.0
377841,nan
3795,3.0
38,221.0
383,0.54
384,11.0
386757,nan
387775,nan
387893,nan
389015,nan
39,49.0
3906,nan
3931,nan
3938,0.23
3939,1248.0
3945,1849.0
3948,nan
3988,2.0
3990,nan
3992,nan
4017,nan
4023,5.0
4025,nan
4035,7.0
4036,nan
4047,16.0
4048,161.0
4051,nan
4056,0.91
410,9.0
411,0.68
412,2.0
4121,1.0
4122,nan
4123,3.0
4124,2.0
4125,0.99
4126,2.0
4128,130.0
4129,447.0
4143,nan
4144,39.0
4166,nan
4190,1037.0
4191,522.0
4199,20.0
4200,13.0
4245,4.0
4247,nan
4248,nan
4249,nan
4257,141.0
4258,48.0
4259,90.0
427,42.0
4284,nan
43,nan
4329,115.0
435,13.0
4351,38.0
4353,28.0
4357,55.0
4363,0.78
438,nan
440,nan
441024,nan
443,14.0
445,58.0
4507,142.0
4512,nan
4513,nan
4514,nan
4519,nan
4522,31.0
4524,1.0
4535,nan
4536,nan
4537,nan
4538,nan
4539,nan
4540,nan
4541,nan
4548,3.0
4594,14.0
4597,9.0
4598,3.0
4668,7.0
4669,0.79
4694,1.0
4695,45.0
4696,10.0
4697,98.0
4698,50.0
47,24.0
4700,22.0
4701,18.0
4702,12.0
4704,8.0
4705,17.0
4706,14.0
4707,7.0
4708,2.0
4709,20.0
471,190.0
4710,18.0
4711,3.0
4712,3.0
4713,10.0
4714,8.0
4715,28.0
4716,19.0
4717,2.0
4718,25.0
4719,47.0
4720,11.0
4722,42.0
4723,24.0
4724,9.0
4725,6.0
4726,18.0
4728,15.0
4729,27.0
4731,3.0
4758,3.0
4759,nan
476,98.0
477,8.0
478,5.0
48,137.0
480,nan
481,57.0
482,nan
483,35.0
4830,272.0
4831,453.0
4832,31.0
4833,2.0
4837,6.0
4842,0.46
4843,nan
4846,0.81
4860,26.0
4881,nan
4882,nan
4891,nan
490,3.0
4905,36.0
4907,31.0
491,nan
492,nan
493,42.0
4942,7.0
495,nan
4952,4.0
4953,nan
496,nan
4967,44.0
498,439.0
50,359.0
5009,0.42
501,120.0
5019,70.0
5033,5.0
5034,644.0
5048,65.0
50484,4.0
50487,nan
5049,111.0
5050,19.0
50506,0.47
5051,0.95
50515,nan
5052,3337.0
5053,nan
506,935.0
50614,nan
50617,nan
50700,nan
50808,152.0
50814,4.0
509,143.0
5091,1.0
5092,66.0
50940,0.28
5095,17.0
5096,9.0
51,2.0
51004,5.0
51005,2.0
51022,nan
5105,nan
51056,78.0
5106,8.0
51071,6.0
51079,24.0
51086,nan
51102,5.0
51109,84.0
51146,nan
51166,nan
51179,nan
51181,83.0
51196,nan
51205,1.0
51227,nan
51251,0.64
51268,nan
51292,12.0
51296,nan
513,149.0
5130,2.0
51301,nan
51302,nan
5136,nan
5137,0.2
5138,2.0
51380,nan
51382,7.0
5139,2.0
514,nan
5140,nan
5141,nan
5142,nan
5143,nan
5144,3.0
51447,nan
5145,nan
5146,nan
5147,9.0
51477,23.0
51478,2.0
5148,nan
5149,nan
515,158.0
5150,nan
5151,0.3
5152,nan
51529,nan
5153,nan
51540,6.0
51550,nan
51557,nan
5158,nan
516,nan
5160,47.0
51604,2.0
51606,11.0
5161,nan
5162,84.0
5167,3.0
5168,1.0
5169,nan
517,nan
51700,64.0
51703,10.0
51706,88.0
5172,nan
51727,190.0
51733,nan
518,nan
51805,2.0
51809,4.0
5184,20.0
5198,4.0
52,58.0
5207,nan
5208,1.0
5209,nan
521,152.0
5210,nan
5211,61.0
5213,107.0
5214,250.0
522,68.0
5223,1435.0
5224,9.0
5226,138.0
523,20.0
5230,1808.0
5232,0.75
5236,739.0
5238,10.0
5244,nan
525,nan
5250,221.0
5251,nan
526,39.0
5264,nan
5265,9672.0
527,32.0
5277,nan
5279,nan
528,4.0
5281,nan
5283,nan
5286,0.89
5287,nan
5288,nan
5289,0.93
529,34.0
5290,0.6
5291,0.23
5293,nan
5294,nan
5295,3.0
5296,nan
5297,0.8
5298,0.16
53,nan
5305,6.0
5313,nan
5315,3206.0
5319,nan
5320,146.0
5321,3.0
5322,nan
533,nan
5330,nan
5331,0.87
5332,0.98
5333,34.0
5334,10.0
53343,4.0
5335,5.0
53354,nan
5336,1.0
5337,nan
5338,0.21
534,5.0
5340,149.0
535,7.0
5351,1.0
5352,0.44
53630,nan
5372,2.0
5373,19.0
539,282.0
53905,nan
53919,nan
53947,nan
54,0.94
54020,nan
5406,nan
5407,nan
5408,nan
5409,nan
54187,137.0
54344,57.0
54363,nan
54407,nan
54480,nan
54490,nan
54511,nan
54539,19.0
54575,nan
54576,nan
54577,nan
54578,nan
54579,nan
54600,nan
5464,177.0
54657,nan
54658,nan
54659,nan
54675,nan
54677,4.0
54682,nan
5471,2.0
54716,nan
5476,3.0
548596,14.0
54872,0.12
54898,nan
549,9.0
54963,0.12
54965,nan
5498,2.0
54981,nan
54995,2.0
55,270.0
55065,nan
55089,nan
55163,60.0
55191,6.0
55217,2.0
55224,nan
55229,8.0
55268,4.0
55276,56.0
55293,2.0
55301,nan
55304,nan
55312,4.0
55315,nan
55326,1.0
55343,1.0
55349,4.0
55350,nan
55361,2.0
5538,49.0
55454,nan
55500,nan
55501,nan
55512,0.42
55568,0.55
55577,94.0
55586,nan
55627,0.81
55650,nan
55748,274.0
55790,nan
55808,nan
55811,nan
55825,1.0
55902,6.0
55907,12.0
55967,19.0
56052,0.51
5625,nan
56267,nan
56301,nan
5631,25.0
5634,13.0
56474,4.0
56548,nan
56603,nan
56606,nan
56623,nan
56848,nan
56894,2.0
56895,0.36
56913,nan
56922,15.0
56953,nan
56954,74.0
56994,nan
570,nan
57026,9.0
57030,nan
57084,nan
57094,0.3
57127,nan
57134,nan
57171,2.0
57194,nan
5723,4.0
5728,0.93
57282,nan
