REACTION,KCAT [1/hr]
3SALATAim,640200
3SPYRSP,nan
3SPYRSPm,nan
41R1H2MAE12BOOX,9887.4
41R2A1H12BOOX,9887.4
42A12BOOX,892249.7148
4ABUTtm_for,nan
4HBZCOAFm,nan
4HBZFm,nan
4HDEBRISOQUINEte_for,nan
4HGLSDm,92016
4HOXPACDOX_NADP__for,139680
4MOPt2im,nan
4MPTNLte_for,nan
4MPTNLtm_for,nan
4MPTNLtr_for,nan
4MTOLBUTAMIDEte_for,nan
4NPHSFte_for,nan
4NPHSULT,540
4NPHte_for,nan
4PYRDX,nan
5ADTSTSTERONEGLCte,nan
5ADTSTSTERONEGLCtr_for,nan
5ADTSTSTERONESte_for,nan
5ADTSTSTERONESULT,1007.048571
5ADTSTSTERONEte_for,nan
5ADTSTSTERONEtr_for,nan
5AOPtm_for,nan
5DHFtl,nan
5FTHFt2_for,nan
5HLTDL,9122.4
5HOMEPRAZOLEte_for,nan
5HOXINDACTO2OX,526813.2
5HOXINDACTOXm,837233.654795
5HOXINOXDA,30031.2
5HTRPDOX,5265
5HTRPVESSEC,nan
5HXKYNDCL,4590
5HXKYNOXDA,9887.4
5MTHFt_for,nan
5MTHFt2_for,nan
5THFtl,nan
5THFtm,nan
6DHFtl,nan
6DHFtm,nan
6HTSTSTERONEte_for,nan
6HTSTSTERONEtr_for,nan
6THFtl,nan
6THFtm,nan
7DHCHSTEROLtr_for,nan
7DHFtl,nan
7DHFtm,nan
7THFtl,nan
7THFtm,nan
A_MANASE,164344.59
A_MANASEly,164344.59
A4GALTc,25.2
A4GALTg,25.2
A4GNT1g,nan
A4GNT2g,nan
AACOAT,673710
AACTOOR,36283.68
AACTtm,nan
AASAD3m,nan
AATAi_for,45180
ABO1g,nan
ABO2g,nan
ABO3g,nan
ABO4g,nan
ABO5g,nan
ABO6g,nan
ABO7g,nan
ABO8g,nan
ABO9g,nan
ABTArm_for,422702.709677
ABTD_for,352522.8
ABTti,nan
ABUTD,27720
ABUTt2r_for,nan
ABUTt2rL_for,nan
ABUTt4_2_r_for,nan
ACACT10m_for,106200
ACACT1r_for,7560
ACACT1rm,7560
ACACT1x,7560
ACACt2_for,nan
ACACt2m_for,nan
ACACT4p,3822046.296429
ACACT5p,3822046.296429
ACACT6p,3822046.296429
ACACT7p,3822046.296429
ACACT8p,3822046.296429
ACACT9p,3822046.296429
ACACtx_for,nan
ACALDt_for,nan
ACALDtm_for,nan
ACALDtr_for,nan
ACALDtx_for,nan
ACCOAC,nan
ACCOACm,20022.3
ACCOAgt_for,nan
ACCOAL,257760
ACCOALm,49200
ACCOAtn_for,nan
ACCOAtr_for,nan
ACETONEt2_for,nan
ACETONEt2m_for,nan
ACGAGBSIDEtg_for,nan
ACGAGBSIDEtl_for,nan
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte_for,nan
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEtg_for,nan
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte_for,nan
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEtg_for,nan
ACGALK,nan
ACGALK2,nan
ACGALtlg_for,nan
ACGALtly,nan
ACGAM2E_for,106151.4
ACGAM6PSi,55980
ACGAMK,117
ACGAMPM_for,8514
ACGAMtly,nan
ACGBGBSIDEtg_for,nan
ACGBGBSIDEtl_for,nan
ACGPID,9972
ACGSm,792
ACHEe,16237800
ACHtn_for,nan
ACHVESSEC,nan
ACITL,108000
ACN13ACNGALGBSIDEte_for,nan
ACN13ACNGALGBSIDEtg_for,nan
ACN23ACNGALGBSIDEte_for,nan
ACN23ACNGALGBSIDEtg_for,nan
ACNACNGAL14ACGLCGALGLUSIDEte_for,nan
ACNACNGAL14ACGLCGALGLUSIDEtg_for,nan
ACNACNGALGBSIDEte_for,nan
ACNACNGALGBSIDEtg_for,nan
ACNAM9PL,68400
ACNAM9PL2,68400
ACNAMlt_for,nan
ACNAMPH,106151.4
ACNAMtn,nan
ACNGALACGLCGAL14ACGLCGALGLUSIDEte_for,nan
ACNGALACGLCGAL14ACGLCGALGLUSIDEtg_for,nan
ACNMLr_for,31117.090909
ACOAD10m,24240000
ACOAD1fm,1047600
ACOAD8m,2651400
ACOAD9m,10440000
ACOAHi,26136
ACOAO7p,280800
ACOATA_for,182.88
ACODA,8614285.714286
ACONT_for,19080
ACONTm_for,19080
ACOX22x,24796.302
ACOX2x,24796.302
ACP1_FMN_,328725
ACRNtm,nan
ACS,2308365
ACS2,673710
ACSm,2308365
ACSOMT,837233.654795
ACSRTNMT,837233.654795
ACt2m_for,nan
ACt2r_for,nan
ACtg_for,nan
ACTLMO,nan
ACTNMO,nan
ACYP,1022400.00186
ADA,648000
ADAe,648000
ADCim,5616000
ADEt_for,nan
ADEtl_for,nan
ADHAPtx_for,nan
ADK1_for,nan
ADK1m_for,2200014.668571
ADK3_for,nan
ADK3m_for,nan
ADKd_for,2277362.835
ADMDC,3662.52
ADNCYC,1418668.84125
ADNK1,nan
ADNK1m,1800
ADNt_for,nan
ADNt4,nan
ADNtl_for,nan
ADNtm_for,nan
ADPGLC,288988.227857
ADPMAN,288988.227857
ADPRDP,53910
ADPRDPm,53910
ADPRIBt,nan
ADPT,27258
ADPtx_for,nan
ADRNCOAtx_for,nan
ADRNCPT1,3822046.296429
ADRNCPT2,nan
ADRNCRNt,nan
ADRNLPVESSEC,nan
ADRNt_for,nan
ADSELK,10080
ADSK,7887.6
ADSL1,9036
ADSL2,9504
ADSS,6287.294118
AFLATOXINte_for,nan
AG13T10g,4104
AG13T11g,4104
AG13T12g,4104
AG13T13g,4104
AG13T14g,4104
AG13T15g,4104
AG13T16g,4104
AG13T17g,4104
AG13T18g,4104
AG13T1g,4104
AG13T2g,4104
AG13T3g,4104
AG13T4g,4104
AG13T5g,4104
AG13T6g,4104
AG13T7g,4104
AG13T8g,4104
AG13T9g,4104
AGDC,243620.307692
AGLPC,nan
AGLPED,nan
AGLPET,nan
AGLPH,nan
AGLPR,nan
AGLPT,nan
AGMTm,10800
AGPAT1,7412846.856576
AGPex_for,nan
AGPRim,618827.510204
AGPSx,32101.796571
AGTim,107204.4
AGTix,107204.4
AHANDROSTANGLCte,nan
AHANDROSTANGLCtr_for,nan
AHC_for,13719105
AHCYStn_for,nan
AHCYStr_for,nan
AHEXASE2ly,5025099.92
AHEXASEly,5025099.92
AICART_for,10392.32
AIRCr_for,nan
AK2LGCHOLt_for,178200
AKGDm,108000
AKGMALtm_for,nan
AKGt4_3_for,nan
AKGtp_for,nan
AKR1C1,533.171455
AKR1C41,226800
AKR1C42,226800
AKR1D,759967.953
AKR1D2,759967.953
ALAASNNaEx,nan
ALACYSNaEx,nan
ALADGLNexR_for,nan
ALADGLYexR_for,nan
ALAGLNexR_for,nan
ALAGLNNaEx,nan
ALAGLYexR_for,nan
ALAR_for,274597.714286
ALASERNaEx,nan
ALASm,646
ALAt2r_for,nan
ALAt2rL_for,nan
ALAt4,nan
ALATA_L_for,117997.714286
ALATHRNaEx,nan
ALAtN1_for,nan
ALCD1_for,1474.2
ALCD21_D,2581.2
ALCD21_L,2581.2
ALCD22_D,947585.215385
ALCD22_L,947585.215385
ALCD2if,25856.742857
ALCD2yf,74820
ALDD20x,nan
ALDD20xm,837233.654795
ALDD21,nan
ALDD2x,12600
ALDD2xm,12600
ALDD2y,571405.587097
ALDSTRNte_for,nan
ALDSTRNtm_for,nan
ALKP,604800
ALOX12,59040
ALOX12R,59040
ALOX15,14880
ALOX5,90000
ALOX52,293400
ALR2,479574
ALR3,2965.745455
AMACR2p,112.95
AMACR2r,112.95
AMACRp,112.95
AMACRr,112.95
AMANK,106151.4
AMCOXO,nan
AMETr_for,nan
AMETt2m_for,nan
AMETtn_for,nan
AMPDA,288988.227857
AMPTASECG,360000
AMPTASECGe,1090800
AMPtp_for,nan
AMPtr_for,nan
AMY1e,353129.142857
AMY2e,353129.142857
ANDRSTRNGLCte,nan
ANDRSTRNGLCtr_for,nan
ANDRSTRNte_for,nan
ANDRSTRNtr_for,nan
ANTIPYRENEte_for,nan
AOBUTDsm,nan
AP4AH1,18724.909091
APAT2rm_for,19800
APNNOXte_for,nan
APOCF,nan
APOCFm,nan
APOC_LYS_BTNP,nan
APOC_LYS_BTNPm,nan
APPNNte_for,nan
APRGSTRNte_for,nan
APRTO2,9887.4
AQCOBALt,nan
ARAB_Lt_for,nan
ARABR,2965.745455
ARACHCOAtx_for,nan
ARACHCPT1,3822046.296429
ARACHCPT2,nan
ARACHCRNt,nan
ARACHDCOAtx_for,nan
ARACHDt2_for,nan
ARACHDtr_for,nan
ARACHt_for,nan
ARGDCm,12751.714286
ARGLYSex,nan
ARGN,684000
ARGNm,684000
ARGSL_for,11808
ARGSS,nan
ARGt4,nan
ARGtiDF,nan
ARGtm_for,nan
ARSA,31710.6
ARTCOAL1,nan
ARTCOAL2,nan
ARTCOAL3,nan
R_group_phosphotase_1,nan
R_group_phosphotase_2,nan
R_group_phosphotase_3,nan
ARTFR11,nan
ARTFR12,nan
ARTFR13,nan
ARTFR202,nan
ARTFR203,nan
ARTFR204,nan
ARTFR205,nan
ARTFR206,nan
ARTFR207,nan
ARTFR208,nan
ARTFR209,nan
ARTFR210,nan
ARTFR211,nan
ARTFR212,nan
ARTFR213,nan
ARTFR31,nan
ARTFR32,nan
ARTFR33,nan
ARTFR34,nan
ARTFR41,nan
ARTFR42,nan
ARTFR43,nan
ARTFR44,nan
ARTFR45,nan
ARTFR46,nan
ARTFR51,nan
ARTFR52,nan
ARTFR53,nan
ARTFR54,nan
ARTFR55,nan
ARTFR56,nan
ARTFR57,nan
ARTFR61,nan
ARTPLM1,nan
ARTPLM1m,nan
ARTPLM2,nan
ARTPLM2m,nan
ARTPLM3,nan
ARTPLM3m,nan
ASAH1,360
ASCBOX,nan
ASCBt_for,nan
ASCBt4_for,nan
ASNALANaEx,nan
ASNCYSNaEx,nan
ASNGLNNaEx,nan
ASNNm,11484
ASNS1,8223.428571
ASNSERNaEx,nan
ASNt4,nan
ASNTHRNaEx,nan
ASNtm,nan
ASNtN1_for,nan
Asn_X_Ser_Thrtr_for,nan
ASP1DC,14499
ASPCTr_for,378225
ASPDt6,nan
ASPDxt_for,nan
ASPGLUm,nan
ASPNATm,103729.480851
ASPt6,nan
ASPTA_for,782400
ASPTAm_for,782400
ATP1ter_for,nan
ATP2ter_for,nan
ATPasel,734808
ATPH1e,2052000
ATPH2e,2052000
ATPS4m,59400
ATPtm,nan
ATPtn_for,nan
ATPtx_for,nan
AVITE1t,nan
AVITE2t,nan
B_MANNASEly,170464.32
B3GALT3g,25.2
B3GALT41g,25.2
B3GALT42g,25.2
B3GALT43g,25.2
B3GALT44g,25.2
B3GALT5g,nan
B3GALTg,25.2
B3GNT11g,nan
B3GNT12g,nan
B3GNT310g,nan
B3GNT311g,nan
B3GNT312g,nan
B3GNT313g,nan
B3GNT314g,nan
B3GNT315g,nan
B3GNT31g,nan
B3GNT32g,nan
B3GNT33g,nan
B3GNT34g,nan
B3GNT35g,nan
B3GNT36g,nan
B3GNT37g,nan
B3GNT39g,nan
B3GNT51g,nan
BAAT1x,759967.953
BAAT2x,759967.953
BAAT3x,759967.953
BAAT4x,759967.953
BACCL,972000528
BACCLm,972000528
BALAtmr_for,nan
BALAVECSEC,nan
BAMPPALDOX,11880
BAMPPALDOXm,19800
BBHOX,7248
BCDO,72
BDG2HCGHD,13865304
BDHm_for,1350830.769231
BDMT_L,4104
BDMT_U,4104
BETALDHxm,939600
BHBt_for,nan
BHBtm_for,nan
BHMT,52888.08
BILDGLCURt_for,nan
BILDGLCURte,nan
BILDGLCURtr_for,nan
BILGLCURt_for,nan
BILGLCURte,nan
BILGLCURtr_for,nan
BILIRED,13140
BILIRUBt2_for,nan
BILIRUBtr_for,nan
BIOCYTtn_for,nan
BMTer_L,nan
BMTer_U,nan
BPNT,35467.92
BPNT2,26610.872727
BTND1,972000528
BTND1n,972000528
BTNDe,972000528
BTNDm,972000528
BTNPL,nan
BTNPLm,nan
BTNt2_for,nan
BTNt2m_for,nan
BTNt3i,nan
BTNt4i,nan
BTNtn_for,nan
BUP2,87804
BUTt2m_for,nan
BUTt2r_for,nan
BVITEt,nan
BZt_for,nan
BZtr_for,nan
C14STRr,638.64
C160CPT1,3822046.296429
C160CPT2,3822046.296429
C160CRNt,nan
C161CPT1,3822046.296429
C161CPT12,3822046.296429
C161CPT2,nan
C161CPT22,3822046.296429
C161CRN2t,nan
C161CRNt,nan
C180CPT1,3822046.296429
C180CPT2,3822046.296429
C180CRNt,nan
C181CPT1,3822046.296429
C181CPT2,nan
C181CRNt,nan
C204CPT1,3822046.296429
C204CPT2,nan
C204CRNt,nan
C226COAtx_for,nan
C226CPT1,3822046.296429
C226CPT2,nan
C226CRNt,nan
C2M26DCOAHLm_for,5058800
C2M26DCOAHLx_for,5058800
C3STDH1Pr,nan
C3STDH1r,nan
C3STKR2r,nan
C4STMO1r,nan
C4STMO2Pr,nan
C4STMO2r,nan
CAATPS,204120
CAMPt,nan
CAROtr_for,nan
CARVEOLte_for,nan
CAT2p,1107021176.47059
CAt7r_for,nan
CATm,1107021176.47059
CATp,1107021176.47059
CBL2OR,nan
CBL2tm,nan
CBLATm_for,898560
CBPPer,nan
CBPS,nan
CBPSam,20628
CBPter_for,nan
CBR1,1388755.472727
CBR2,1388755.472727
CCA_D3t,nan
CCA_D3tm,nan
CDIPTr_for,32101.796571
CDPDAGtm_for,nan
CDS,32101.796571
CDSm,32101.796571
CEPTC,nan
CEPTE,nan
CERK,25.2
CERT1gt_for,nan
CERT1rt_for,nan
CERT2gt_for,nan
CERT2rt_for,nan
CGLYt3_2_,nan
CGMPt,nan
CH25H,nan
CHAT_for,32101.796571
CHATn_for,32101.796571
CHLP,42264
CHLPCTD,53352
CHLtm_for,nan
CHOLATEt_for,nan
CHOLATEt2,nan
CHOLATEt3,nan
CHOLD2m,36283.68
CHOLK,nan
CHOLPtg_for,nan
CHOLPtl_for,nan
CHOLt4_for,nan
CHOLtg_for,nan
CHOLtn_for,nan
CHOLtr_for,nan
CHOLtu_for,nan
CHSTEROLSULT,1007.048571
CHSTEROLt,nan
CHSTEROLt1_for,nan
CHSTEROLt2_for,nan
CHSTEROLt3_for,nan
CHSTEROLtg,nan
CHTNASE,180
CHTNASEe,180
CITL,108000
CITMCOAHm_for,81000
CITMCOALm,81000
CITRtm_for,nan
CITt4_2_for,nan
CITtam_for,nan
CITtbm_for,nan
CK_for,496633.846154
CKc_for,496633.846154
CLFORtex,nan
CLHCO3tex2,nan
CLI2tex,nan
CLOHtex2,nan
CLOXAtex2,nan
CLPNDCOAtx_for,nan
CLPNDCPT1,3822046.296429
CLPNDCPT2,nan
CLPNDCRNt,nan
CLPNDt_for,nan
CLS_hs,nan
CMPACNAtg_for,nan
CMPACNAtn,nan
CMPSAS,20912.727273
CMPSASn,20912.727273
CO2t_for,nan
CO2ter_for,nan
CO2tg_for,nan
CO2tm_for,nan
CO2tn_for,nan
CO2tp_for,nan
COAtg_for,nan
COAtl_for,nan
COAtm_for,nan
COAtn_for,nan
COAtp_for,nan
COAtr_for,nan
COKECBESr,232770.267861
COQ3m,nan
COQ5m,nan
COQ6m,nan
COQ7m,nan
CORE2GTg,343.2
CORE3GTg,343.2
CORE4GTg,343.2
CORE5GTg,nan
CORE6GTg,343.2
CORE7GTg,nan
CORE8GTg,nan
COt_for,nan
COUCOAFm,5677.714286
COUMARINte_for,nan
CPCTDTX,119880
CPPPGO,5442.588
CREATt4_2_r_for,nan
CREATtmdiffir,nan
CRMPte_for,nan
CRNCAR3tp,nan
CRNCARtp,nan
CRNt_for,nan
CRNtHa,nan
CRNtim,nan
CRNtuNa,nan
CRNtx_for,nan
CRTNsyn,nan
CRTSLt_for,nan
CRTSLtm_for,nan
CRTSLtr_for,nan
CRTSTRNt_for,nan
CRTSTRNtm_for,nan
CRTSTRNtr_for,nan
CRVNCtr_for,nan
CSAPASEly,nan
CSBPASEly,nan
CSCPASEly,nan
CSDPASEly,nan
CSEPASEly,nan
CSm,108000
CSNAT2m_for,138600
CSNAT2x_for,138600
CSNAT3x_for,138600
CSNATer_for,138600
CSNATm_for,138600
CSNATp_for,138600
CSNATr_for,138600
CSND,466686
CSNt_for,nan
CSPG_At,nan
CSPG_Atly,nan
CSPG_Bt,nan
CSPG_Btly,nan
CSPG_Ct,nan
CSPG_Ctly,nan
CSPG_Dt,nan
CSPG_Dtly,nan
CSPG_Et,nan
CSPG_Etly,nan
CTPS1,nan
CTPS2,nan
CTPtn_for,nan
CYANt_for,nan
CYANtm_for,nan
CYOOm2,nan
CYOR_u10m,nan
CYSALANaEx,nan
CYSASNNaEx,nan
CYSGLNNaEx,nan
CYSGLTH_for,1117361.44
CYSGLUexR_for,nan
CYSGLYexR_for,nan
CYSLYSL,9571.5
CYSO,6120
CYSSERNaEx,nan
CYSt4,nan
CYSTA_for,1117361.44
CYSTAm_for,1117361.44
CYStec_for,nan
CYSTGL,11700
CYSTGLUex,nan
CYSTHRNaEx,nan
CYSTS,31973.538462
CYSTSERex,nan
CYTD,17280
CYTDK1,nan
CYTDK2m,nan
CYTDn,17280
CYTDt_for,nan
CYTDt4,nan
CYTDtl_for,nan
CYTDtm_for,nan
CYTDtn_for,nan
CYTK1_for,nan
CYTK10_for,363600
CYTK10n_for,363600
CYTK11_for,185400
CYTK11n_for,185400
CYTK12_for,185400
CYTK12n_for,185400
CYTK13_for,185400
CYTK13n_for,185400
CYTK14_for,185400
CYTK14n_for,185400
CYTK1m_for,nan
CYTK1n_for,363600
CYTK2_for,nan
CYTK2n_for,185400
CYTK3_for,nan
CYTK3n_for,185400
CYTK4_for,nan
CYTK4n_for,185400
CYTK5_for,185400
CYTK5n_for,363600
CYTK6_for,363600
CYTK6n_for,363600
CYTK7_for,363600
CYTK7n_for,363600
CYTK8_for,363600
CYTK8n_for,363600
CYTK9_for,363600
CYTK9n_for,363600
D_3AIBt,nan
D3AIBTm_for,346915.2
DADA,648000
DADAe,648000
DADNK,9396
DADNt4_for,nan
DAG_HSter,nan
DAGK_hs_for,37452
DAGKn_hs_for,37452
DAGt_for,13541.815385
DALAOXx,27360
DALAt2r_for,nan
DALAt2rL_for,nan
DALAxt,nan
DARGOp,12600
DASCBH,691200
DASCBR,540000
DASPO1p,426865.95
DATPtn_for,nan
DCIm_for,338921.617021
DCK1m_for,244.5
DCK1n_for,244.5
DCK2n_for,200.52
DCMPDA_for,3456000
DCSPTN1COAtx_for,nan
DCSPTN1CPT1,3822046.296429
DCSPTN1CPT2,nan
DCSPTN1CRNt,nan
DCSPTN1t_for,nan
DCT_for,892249.7148
DCTPtn_for,nan
DCYTD,346915.2
DCYTDn,288988.227857
DCYTt_for,nan
DDPGAm_for,173422.524
DEBRISOQUINEt_for,nan
DECDPtm_for,nan
DEDOLP1_L,nan
DEDOLP1_U,nan
DEDOLP2_L,nan
DEDOLP2_U,nan
DEDOLR_L,nan
DEDOLR_U,nan
DESAT16_2,1440
DESAT18_10,1440
DESAT18_3,1260
DESAT18_4,1260
DESAT18_5,1260
DESAT18_6,9720
DESAT18_7,1440
DESAT18_8,9720
DESAT18_9,9720
DESAT20_1,1440
DESAT20_2,1440
DESAT22_1p,1440
DESAT22_2p,1440
DESAT24_1,9720
DGAT,nan
DGCHOLte_for,nan
DGCHOLtx_for,nan
DGK1_for,nan
DGK2m_for,169200
DGNSKm,10800
DGSNt_for,nan
DGSNtm_for,nan
DGTPtn_for,nan
DGULND_for,461367.969231
DHAAt1r_for,nan
DHAPA,7412846.856576
DHAPAx,7412846.856576
DHCHOLESTANATEtm_for,nan
DHCR241r,nan
DHCR242r,nan
DHCR243r,nan
DHCR71r,638.64
DHCR72r,638.64
DHCRD1,nan
DHCRD2,nan
DHDPBMTm,5677.714286
DHEASt_for,nan
DHEAStr_for,nan
DHEASULT,1007.048571
DHEAtr_for,1007.048571
DHFR_for,93837.6
DHFtl_for,nan
DHFtm_for,nan
DHORD9,5624.1
DHORTS_for,10563.6
DHPM1,95880
DHPM2,14400
DHPR,11656.4
DHPR2,nan
DIDPtn_for,nan
DIGALSGALSIDEte_for,nan
DIGALSGALSIDEtg_for,nan
DIGALSIDEtg_for,nan
DIGALSIDEtl_for,nan
DINt_for,nan
DITPtn_for,nan
DKMPPD,nan
D_LACt2_for,nan
D_LACtm_for,nan
DLNLCGCPT1,3822046.296429
DLNLCGCPT2,nan
DLNLCGCRNt,nan
DLNLCGt_for,nan
DM_13_cis_oretn_n_,nan
DM_13_cis_retn_n_,nan
DM_Asn_X_Ser_Thr_ly_,nan
DM_atp_c_,nan
DM_avite1_c_,nan
DM_avite2_c_,nan
DM_bvite_c_,nan
DM_core5_g_,nan
DM_core7_g_,nan
DM_core8_g_,nan
DM_datp_m_,nan
DM_datp_n_,nan
DM_dctp_m_,nan
DM_dctp_n_,nan
DM_dem2emgacpail_prot_hs_r_,nan
DM_dgpi_prot_hs_r_,nan
DM_dgtp_m_,nan
DM_dgtp_n_,nan
DM_dsT_antigen_g_,nan
DM_dttp_m_,nan
DM_dttp_n_,nan
DM_ethamp_r_,nan
DM_gncore2_g_,nan
DM_gpi_sig_er_,nan
DM_hretn_n_,nan
DM_kdn_c_,nan
DM_m_em_3gacpail_prot_hs_r_,nan
DM_melanin_c_,nan
DM_mem2emgacpail_prot_hs_r_,nan
DM_n5m2masn_g_,nan
DM_oretn_n_,nan
DM_Ser_Thr_ly_,nan
DM_Ser_Gly_Ala_X_Gly_ly_,nan
DM_sprm_c_,nan
DM_sTn_antigen_g_,nan
DM_T_antigen_g__for,nan
DM_yvite_c_,nan
DMANTIPYRINEte_for,nan
DMATT,1796.4
DMATTx,1796.4
DMGDHm,36283.68
DMGtm_for,nan
DMHPTCRNCPT1_for,3822046.296429
DMHPTCRNCPT2_for,nan
DMHPTCRNt_for,nan
DMHPTCRNte_for,nan
DMNONCOACRNCPT1_for,nan
DMNONCRNCPT2_for,nan
DMNONCRNt_for,nan
DNADtn_for,nan
DNAMTn,208.8
DNAMTSEn,208.8
DNDPt10m,nan
DNDPt11m,nan
DNDPt12m,nan
DNDPt13m,nan
DNDPt14m,nan
DNDPt15m,nan
DNDPt16m,nan
DNDPt17m,nan
DNDPt18m,nan
DNDPt19m,nan
DNDPt1m,nan
DNDPt20m,nan
DNDPt21m,nan
DNDPt22m,nan
DNDPt23m,nan
DNDPt24m,nan
DNDPt25m,nan
DNDPt26m,nan
DNDPt27m,nan
DNDPt28m,nan
DNDPt29m,nan
DNDPt2m,nan
DNDPt30m,nan
DNDPt31m,nan
DNDPt32m,nan
DNDPt33m,nan
DNDPt34m,nan
DNDPt35m,nan
DNDPt36m,nan
DNDPt37m,nan
DNDPt38m,nan
DNDPt39m,nan
DNDPt3m,nan
DNDPt40m,nan
DNDPt41m,nan
DNDPt42m,nan
DNDPt43m,nan
DNDPt44m,nan
DNDPt45m,nan
DNDPt46m,nan
DNDPt47m,nan
DNDPt48m,nan
DNDPt49m,nan
DNDPt4m,nan
DNDPt50m,nan
DNDPt51m,nan
DNDPt52m,nan
DNDPt53m,nan
DNDPt54m,nan
DNDPt55m,nan
DNDPt56m,nan
DNDPt57m,nan
DNDPt58m,nan
DNDPt59m,nan
DNDPt5m,nan
DNDPt60m,nan
DNDPt61m,nan
DNDPt62m,nan
DNDPt63m,nan
DNDPt6m,nan
DNDPt7m,nan
DNDPt8m,nan
DNDPt9m,nan
DOGULND1,nan
DOGULND2,nan
DOGULNO1,nan
DOGULNO2,nan
DOLASNT_Ler,4104
DOLASNT_Uer,4104
DOLDPP_Ler,4104
DOLDPP_Uer,4104
DOLGLCP_Lter,nan
DOLGLCP_Uter,nan
DOLGPP_Ler,4104
DOLGPP_Uer,4104
DOLICHOL_Lter_for,nan
DOLICHOL_Uter_for,nan
DOLK_L,4104
DOLK_U,4104
DOLMANP_Lter,nan
DOLMANP_Uter,nan
DOLP_Lter,nan
DOLP_Uter,nan
DOLPGT1_Ler,nan
DOLPGT1_Uer,nan
DOLPGT2_Ler,nan
DOLPGT2_Uer,nan
DOLPGT3_Ler,nan
DOLPGT3_Uer,nan
DOLPH_Ler,4104
DOLPH_Uer,4104
DOLPMT_L,74700.00468
DOLPMT_U,74700.00468
DOLPMT1_Ler,4104
DOLPMT1_Uer,4104
DOLPMT2_Ler,4104
DOLPMT2_Uer,4104
DOLPMT3_Ler,4104
DOLPMT3_Uer,4104
DOLPMT4_Ler,4104
DOLPMT4_Uer,4104
DOPABMO,221400
DOPACHRMISO,1259481.637895
DOPAMT,500.4
DOPAQNISO1_for,nan
DOPASFt,nan
DOPASULT,648
DOPAt4_2_r_for,nan
DOPAtu_for,nan
DOPAVESSEC,nan
DORNOp,29250
DPCOAK,nan
DPCOAtl_for,nan
DPGase,13.32
DPGM_for,4120800
DPHMBDCm,nan
DPMVDx,16200
DPPS,nan
DPROOp,36720
DRBK,94392
DRIBt_for,nan
DRPA,443640
DSAT,nan
DTDPtn_for,nan
DTMPK,nan
DTTPtn_for,nan
DUDPtn_for,nan
DUMPtn_for,nan
DURAD_for,1440
DURAD2_for,3600
DURIK1,8422
DURIK1m,8422
DURIPP_for,nan
DURIt_for,nan
DURItn_for,nan
DUTPDPm,26946
DUTPDPn,26946
EAFLATOXINte_for,nan
EBASTINEOHte_for,nan
EBASTINEOHtr_for,nan
EBASTINEte_for,nan
EBASTINEtr_for,nan
EBP1r,1522.8
EBP2r,1522.8
ECGISOr_for,nan
