Gene ID	UniProt Accession	
10257	Q8IZN6; Q8IVZ4; A8K2Q2; Q8NEW8; O15439; A9Z1Z7; B7Z3Q7; Q9Y6J2	
102724197	P36268; B5MCK8; E7ETR7; C9JIY6; E7EVF8; P19440; E7EM62; E7ETU4; B5MC34; E9PHP2; E7ETN1; B5MC36; E7ET76; E7ESL5; C9JGF3; E7ENJ5; E7ERN9; E7ETJ6	
102724560	Q9BWC5; D3DSK4; B2R993; Q99425; P0DN79; P35520	
10312	O75877; Q13488; Q8WVC5; A0A024R5E5	
10317	Q9P1X7; D3DSI3; Q2M3L5; Q53Z19; Q9NY96; Q9P1X6; Q9Y2C3; A8KA86; A0A0A0MS93	
10327	Q6IAZ4; D3DQ04; A8KAL8; V9HWI0; P14550	
10331	Q8WWR6; Q9C0J2; B2RAS4; Q9Y2A9; Q6NWU9; Q6NXU9	
1036	Q16878; P78513; Q6FHZ8; B2RAK4; Q8TB64	
10380	B4DUS9; Q9UGJ3; B7Z9J7; V9HWF9; A8K7C8; Q8WVL5; O95861; D3DTA9; B4DPS5	
10390	Q69YJ9; B3KN25; A0A024R0C0; Q9Y6K0; Q9P0Y8	
10396	Q4W5J7; Q32M36; Q4W5P2; Q9Y2Q0; Q32M35	
1040	A0A024RDG8; O00163; Q92903; B2RAL5	
10400	Q9UBM1; Q86VL3; A8MZ66; Q9BW86; B4DY41; D3DXC3; Q6IAQ5; Q9UHY6; Q9Y6V9	
10402	F8W6U0; Q9Y274; B3KMI1; B2RCH2; D3DN39; A0A087WXB8	
10423	O14735; B4DUV0; H3BTV1; B3KY94; A8K3L7; Q6FGU1; Q6ZN70	
10449	P42765; B3KNP8; Q9BUT6	
10455	A0A0C4DGA2; Q7L124; Q8N0X0; Q9H0T9; Q9NYH7; Q9NQH1; Q9UN55; O75521; Q5JYK5; Q5JYK7; Q9BUE9	
10476	Q9H3J4; B2R5L6; A0PJH2; O75947	
10478	Q9UGW8; B4DP73; Q9UGY7; A8KA59; O43808; B4DU97; Q5TFL0; F6RTR7	
10554	A2BFI5; Q99943; Q5BL03; A0A024RCV5	
10555	Q9BSV7; Q5VUD3; O15106; A0A024R8I7; O15120; Q9BWR7; O00516; A0A024R8F9; Q5VUD4	
10558	A0A024R277; Q5VWB4; Q6NUL7; A8K681; Q96IX6; O15269	
10559	P78382; Q5W1L8	
1056	O75612; X6R868; B4DSX9; Q86SR3	
10560	B4E1X4; Q9UBL7; A0A024R8Y5; A0A024R928; O60779; Q8WV87; Q9UN31; Q9UN43; B2R9H0; Q9UKJ2	
10568	Q8WYA9; Q9P0V7; A5PL17; O95436; Q8N2K2	
10587	E7EWK1; Q9P2Y1; Q9UQU8; Q9NZV3; Q9P2Y0; O95840; Q9NNW7; Q9H2Z5; Q9NZV4; Q96IJ2	
10588	P49914; H3BQ75	
10599	B2R7G2; Q9UBF3; Q9UH89; A0A024RAU7; Q05CV5; Q29R64; Q9NQ37; Q9Y6L6	
10606	P22234; A0A024RD93; E9PDH9; Q68CQ5	
10610	Q12971; Q9UJ37; A0A024R8M1	
10632	O75964; Q9UBZ7; Q96BV6; A8K0K3	
10654	Q6FGV9; Q15126; Q5TZW9	
10678	Q54AC1; Q9NQR0; Q9NUT9; Q9NY97; Q9NQQ9	
10682	Q15125; Q6IBI9; Q6FGL3; A0A024QYX0	
10690	Q9Y231; Q5T0W4	
107	A4D2L8; Q75MI1; Q8NFM5; Q59FG4; Q08828; C9J1J0	
10720	Q3KNV9; O75310	
10723	A6NDS8; Q9H7I3; Q9H7I7; Q9UFW2; Q9Y666; Q4G0F3; Q96I81	
10724	D3DR79; O75166; Q86WV0; B7WPB9; Q8IV98; O60502; Q9HAR0; E9PGF9; Q9BVA5	
10728	Q8WU70; B4DHP2; A0A024RB32; Q15185; B4DP21; A8K7D0; B4DP11; A0A087WYT3	
10768	Q502W8; Q5VSM0; O43865; Q6P171; Q9UG84; B4E168; Q2TAJ6; A0A024R0A8; Q96PK4	
10786	Q8WWC7; A0A024QZX7; B7WNJ5; Q9H533; O00476; B7Z511	
10797	P13995; Q53GV5; Q7Z650; Q53G90; Q53S36	
108	B7Z2C1; Q9UDB2; Q9UPU2; Q71UM8; Q08462; Q2NKL8	
10840	Q53H87; B4DG36; Q8TBP8; O75891; Q68CS1; E9PBX3	
10841	Q9HCT6; B9EGD0; Q9HCT4; Q86V03; O95954; Q9HCT5; Q9UHJ2	
10846	Q9HCP9; Q9Y233; Q6FHX1; Q9Y5T1; Q9NTV4; Q9ULW9	
10858	Q8N2B0; B4DHP8; E7EQG9; Q9Y6A2	
10861	Q9H2B4; A8K9N2; Q96BK0; Q7Z5R3	
10864	Q5T050; Q5T048; Q9Y694; B2CZX6; Q5T046; Q9H2W5	
10870	Q9Y3Y0; Q9UBK5; Q9UBS1	
10873	B7Z6V0; Q8TBJ0; B2R995; Q16798; Q6TCH8	
109	O60266; B7ZLX9; A0A0A0MSC1; Q53T54; B3KT86; Q9UDB1	
10901	Q9H3N5; Q9NV08; B7WNS9; Q6UWU3; O95162; Q9BTZ2; B2RB10; Q71UQ6; E2QRL8; Q2LE81; D3YTB8; Q20CR0; Q2LC19; Q58IU4; Q6E0Y1; Q8TD03	
10905	O60476; Q9H510	
10919	Q5JQ92; A2ABF8; Q9Y331; Q14349; Q5JQG3; B0UZY2; Q96MH5; B7Z852; Q9UQL8; Q5JQA1; Q96KQ7; Q5JP83; Q6PK06; Q96QD0; A0A024RCN9; A2ABF9; Q59FM7; A0A0G2JK64	
10935	P30048; P35690; D3DRC9; E9PH29; B2R7Z0; Q0D2H1; Q13776; Q5T5V2; Q96HK4	
10948	B4DUY1; Q53Y53; F5H0G2; Q96HM9; Q14849; A8MXA4	
10965	P49753; Q3I5F8; Q53EK4; Q9NUX4; B3KSA0	
10975	B2R542; D6W5Z4; O14957; Q9UEA3; Q9UPK4	
10991	B2R8Q0; Q99624; Q6IB34	
10993	Q8WW81; P20132; A8K9P5	
10998	B4DPQ1; Q9Y2P5; B3KVP6	
10999	A8K2F7; Q6P1M0; Q96G53; O95186; A0A024R8D2	
11000	Q5VUQ7; Q5K4L6; Q5VUQ8; Q8TEJ0; Q9BTY5; Q5VUR3; Q6ZV16; Q8N2X7; Q96SW5; Q9BTJ5	
11001	Q6PF09; A8K2J7; O14975; Q53FY6	
1103	A2BDF5; Q9BQ35; Q9BQE1; Q6LEN5; Q9BQ23; Q6LEN6; D3DX95; P28329; A2BDF4; Q16488	
11041	A0A024R5F9; O43505; Q4TTN0	
11046	O95454; A0A024R9N5; Q75W21; Q76EJ3; Q498C1; Q7Z5X5	
1109	Q8WW84; Q5T6A3; Q9NS54; P17516	
111	B7Z2C7; B3KWA8; B7Z8A6; Q7RTV7; O95622; Q8NFM3	
11112	P31937; Q9UDN3; A0A024RA75; Q546Z2	
11136	P82251; B2R9A6	
11164	A8K516; Q6IAG0; Q9UH49; Q9UKK9	
1118	B3KNW6; Q0VGG5; Q6ISC2; Q9H3V8; Q9UDJ8; J3KN09; Q13231; Q0VGG6; Q3ZAR1	
11181	O43280; Q53FY8; Q32MB9	
11182	Q5SXD7; A6NNU6; Q9UGQ3; Q8NCC2	
11185	O95050; Q9P1Y2; Q9UBY4; B8ZZ69; Q3KP49; Q9UHQ0	
1119	P35790; Q8NE29	
112	Q9NR75; O43306; Q9UDB0	
1120	A0A024R4X4; Q9Y259; A0PJM6; Q13388	
11212	O94903; Q6FI94	
11226	Q9H6G2; Q8NCL4; Q8IYH4; Q9UIV5	
11227	A5PKZ1; Q7Z7M9; Q9UGK7; Q9UHL6	
11238	A0A024RBW9; Q9Y2D0; A8K4T5	
112483	Q96F10; I3L0W4; Q502X4	
11253	Q9BRS9; Q9Y5K7; Q9UKM7; Q5VSG3	
11254	Q5H942; Q9UN76; B2R8J1	
112611	Q2M3R3; Q9UIY3; E1P548; B4DZK9; B4DIQ3; B2R7R2; Q96FH1	
112724	B3KVA3; Q6UX79; A0A024R4M8; Q8NBN7; Q96G88	
11282	Q86TF1; Q9UQ53; A8MPR0; Q9NSK6; Q96GH4	
11283	P98187	
11285	Q9UBV7; B3KMT1; B3KN39; Q9UHN2	
113	P51828; F5H4D1; Q86YI0; B3KSJ0; A0AVA6	
113026	Q8TF37; Q8N3E9; Q8TEC1; Q96FL6	
11309	A0A024R5I4; O94956; B4DTB0; E7ERN5; E9PPU8; A0A0A0MTF1; Q9UFU1; A8K2G9; B4DGA9; Q9H2Z0	
113189	Q6PJ31; Q6UXA0; Q96P94; Q8NCH0	
11320	D3DVH6; Q9UM21; B4E2R6; Q53S97; Q86Z15; E9PEN2	
113235	A0A024QZ15; A0A024QZ44; Q96FL0; Q86T92; Q96NT5; Q1HE20; Q8TEG3	
113278	Q5W1A1; K0A6P4; A8K6P1; Q96GD5; Q5W1A0; Q9NQ40; Q8NCL7	
11332	Q5JYL5; O00154; A8K6B8; Q5JYL4; Q5JYL6; Q9UJM9; A8K232; O43703; Q9Y539; A8K837; Q53Y78; Q5TGR4; B3KQ12; Q5JYL2; Q5JYL3; A8K0K7; Q9Y540	
11343	Q6IBG9; E7EWX8; B2ZGL7; Q99685; B7Z9D1; A0A0C4DFN3; B3KRC2; Q96AA5	
113451	Q96L57; Q96MD9; Q5TIF4; B3KV62; D3DPQ9; Q96L56; B2RDU5; D3DPR0; Q5TIF6; Q8TF56; Q96L54; Q96L55; Q96A70; Q5TIF5	
113675	A0A024RBL2; Q96GA7	
114	A0A0K0K1K3; P40145; Q4F7X0	
114112	Q6PIS8; Q9P101; B4DRZ5; Q86VQ6; Q9NNW6	
114134	Q96QE2; Q17S07	
114805	Q8IUC8; Q68VI8; Q08ER7; Q6ZWG1; Q96PX0; Q9UIE5; B3KY85	
114971	E9PAT8; Q9BXV8; Q8WUK0; Q96CR2; Q7Z557	
115	A7E2V5; A7E2X2; D3DUD1; Q4ZIR5; Q9BWT4; Q9UGP2; O60503; O60273; Q4ZHT9	
115019	Q96PK9; B7ZKK2; B3KXK1; B1AVM8; Q96RN0; Q7LBE3; B1AVM9; A7E2V6	
115111	Q8TE54; A0A087WZI7; Q96RN2; Q8TE53; Q24JS8	
1152	Q9UC66; P12277; A8K236; Q6FG40; B2R5R4; Q2LE07; V9HWH2	
115286	Q96E68; F8WAB8; Q7Z786; B3KRZ7; Q70HW3; A8K758	
115584	B7Z8N3; Q6ZUW3; B7Z329; Q6PF02; Q96PP5; Q8WWX8; Q05BF1; Q86Y55	
1158	P06732; B2R892; Q96QL9	
1159	Q0VAM3; Q53FC4; B7ZA09; Q32NF6; B4DIT8; P12532	
1160	A0A024RAK5; Q8N1E1; P17540; Q6ICS8	
116255	Q6IEE5; Q96PD6	
116285	Q08AH2; B2RAP4; Q96A20; Q08AH1	
116369	Q96MA0; Q812C7; Q96PK8; Q96RN1; Q5JVR5; Q8TC65; A0A024RCV0	
117247	Q6ZMG0; Q8TF71; Q8WVI5; B3KWY0	
117248	A6NMN1; B2R638; Q96C46; C9JGI4; Q8N3T1; F1LIP6; Q86T60; Q96DJ5; Q4G146	
117283	A8K1M0; Q96PC2; Q96MQ9; Q5TAQ4	
1178	Q0VDE3; C5HZ14; Q05315; C5HZ13	
118881	Q8TE79; Q86VU5	
12	P01011; B3KVQ7; Q9UNU9; Q96DW8; Q2TU88; Q6LDT7; Q2TU87; Q9UC47; Q13703; Q6NSC9; A0A024R6P0; Q6LBY8; Q8N177; Q59GP9	
1200	Q5JAK6; Q6UX56; O14773; Q53HT1; Q71JP6; Q96C37	
120103	Q6YBV0; Q8IVM5; Q86X30; Q8N8S6	
121260	B3KTK1; Q71M34; Q7Z5F8; Q8TAH0; Q8N697; A6H8Y9	
121278	Q8IWU9; A6NGA4; Q14CB0	
1215	Q3SY36; Q9UDH5; Q16018; Q3SY37; Q4FEB3; P23946; B5BUM8	
122481	Q8IYP6; Q96M32	
122622	Q86TT6; Q8N714; B3KTV4; Q8N142	
122970	Q8N9L9; Q17RF4; Q86TX0; Q5BKT6; Q86TX1; Q96N88	
123041	Q8NFF0; Q8NFF2; B4DHE7; Q8N8U6; Q8NFF1; B9ZVY2; Q8NCX1	
123099	Q6QHC5; Q6P492	
123745	Q6ZSC0; B7WPN2; Q3MJ16	
124	P07327; Q17R68; A8K3E3	
1244	Q14022; Q5T2B1; B2RMT8; Q92887; Q9UMS2; Q99663; Q92500; Q92798	
124583	Q8WVQ1; Q9BSD5; B4DJ54; Q7Z2J7; Q8NG05; Q8NHP0; A0A024R8U8	
124637	Q96DM7; Q6P9G0; D3DTQ8	
124935	Q8NBX1; Q8N370; C9JNU8; B7Z6X9; Q5CD75; D3DTH9; Q8NC21; Q6IPM1; Q8WZ00	
124975	B4DKN3; B4DUH4; Q6ZPD7; J3KPJ0; Q6P531; Q8NCM0	
125	B4DRS9; D6RHZ6; B4DVC3; Q13711; Q4ZGI9; Q96KI7; A0A0D9SFH8; V9HW50; P00325; A8MYN5	
125061	Q63HM1; A2RUB3	
125206	Q8IXM4; B7WPR4; Q96LQ1; Q6P5X0; A0PJK1; A8MUC9; B4DPI0	
125965	Q6YFQ2; Q96DL5; Q7L1R4	
126	Q6LBW4; P00326; Q4PJ18; Q5WRV0; Q6NWV0; Q6NZA7	
126129	Q5K6N5; A0A024QZI3; A0A024QZE3; A8K0Z8; Q8NDS6; Q8TE84; B3KU49; Q8TCG5; Q8N6Q9	
126328	Q6ZS66; Q86Y39; C9JT23	
126410	Q6NT55; Q8N8H4	
1267	A0A024R1T5; P09543	
126792	Q96L58; Q5T7M5	
127	C9J4A9; P08319; A8K470; V9HVX7; B4DIE7; Q8TCD7	
127124	Q495K2; Q5T9L6; Q96LB4; Q495K4	
128	Q6IRT1; Q6FHR2; P11766	
128869	Q8N2F2; Q9H490; Q7Z489	
129607	A5D8T2; B7ZM18; Q5EBM0; Q6ZRU2; Q96AL8; A2RUB0	
129642	Q96KY4; B7Z3I3; B0AZU0; Q6ZWT7; Q8NCE7; A9EDR2	
129807	J3KNJ5; Q8WWR8; Q96D64; B3KR54; Q3KR05; A8K056	
13	D3DNJ6; A8K3L3; Q8N1A9; P22760	
130	A0A0A0MS56; P28332; Q8IUN7; Q58F53; E9PBI1; B3KS45	
130013	Q8TDX5; Q53SR5; Q6ZV40; Q3B7X3; Q96KY2; A0A0S2Z681	
130367	A3KPB4; Q8N8Q6; Q8IWX5	
130752	A8K8M1; Q53TK9; Q8IV51; C9JER5; Q5I0G3	
131	A8MVN9; B2R760; P40394; Q13713; A2RRB6; B4DWV6	
1312	P21964; A8MPV9; Q6IB07; Q6ICE6; Q9BWC7; A0A140VJG8	
131669	Q96N76; Q68CJ7; Q14C64; E9PE13	
132	O00741; B7Z800; P55263; Q9BTN2; O00742; Q5JQ11; B7Z783; A0A140VJE0; Q16710; Q5JQ10	
132158	Q2EZ43; Q6Y2K6; Q8WTY2; A0A024R302; Q86YR8; Q0P630; Q7Z6G5; Q8IVS8; Q8TED2	
1327	P13073; B2R4J2; H3BNV9; Q6P666; D3DUM7; Q86WV2	
132789	A0A024R9X5; Q96BJ4; Q8TDQ7; Q8NCZ8; B4DJF3; Q59EA7; Q2VYF1; Q96NC6	
1329	P10606; Q96J18; Q53YB7; Q99610	
1337	Q32Q37; H6SG15; B2R500; P12074; O43714	
1339	O00761; Q6GTW6; Q02221	
1340	P14854; Q6IBL4; B2R5C9	
1345	P09669; B2R4D7; A0A024R9B7	
134526	Q8WYK0; B3KVK9; Q5FWE9	
1346	P24310; Q6FGI7	
1347	Q3MIH5; Q5TF59; Q6FGI2; B2R5E1; H0UI06; P14406	
1349	P24311; B2R4M3; Q6ICR1	
1350	P15954; Q6NR81	
1351	P10176; P15955; Q53XN1	
135152	Q9NPZ5; Q8TF38; Q96NK4; Q5JS09	
1356	A5PL27; Q9UKS4; P00450; Q14063; Q2PP18	
1357	P15085; Q9UCF2; A4D1M1; Q53XU0; Q9BS67	
1358	A4D1M4; P48052; C9JIK1; Q9UCF1; Q96A12; Q53XS1; Q96QN3	
1371	Q53F08; P36551; Q14060; A8K275; Q96AF3; B4DSD5; Q8IZ45	
1373	O43774; A0A024R454; Q59HF8; Q7Z5I5; P31327; J3KQL0; B7ZAW0; Q53TL5; B7Z818; Q6PEK7	
1374	Q8WZ48; Q8TCU0; P50416; Q9BWK0; B2RAQ8; A0A024R5F4	
1375	A5PLL0; Q92523; B7Z5T8; Q9BY90; A0A024R4W7; E9PCP2; Q99655; B7Z4U4; Q13389; Q53FV7	
1376	Q5SW68; P23786; Q9BQ26; B2R6S0; A0A140VK13	
137872	Q68CI7; Q8IWW8; Q49A19; Q6P2B6; B4DTJ8; Q96MF9	
137964	Q86V89; Q86UL3; Q2TU73	
1384	Q5T952; Q9BW16; P43155	
140679	Q9H598; Q8N489	
140838	Q5JYN8; Q8TE97; Q8TBE9; B3KP12; Q9Y3N0	
142680	Q8N130; A2BFA1	
1431	A0A024RB75; Q71UT9; Q7KZH0; Q96FZ8; Q9BWN8; O75390	
144193	Q96NU7; A8K463; B3KVC5; Q68CI8	
144195	B3KWW7; B7ZAC3; B3KVB5; B7Z844; Q8TDB8; Q6UY84; Q8TDB9	
145226	A0A0S2Z613; Q96NR8; B2RDA2; Q8TAW6	
146712	Q6GV30; I3L232; Q67FW5; I3L4B6; A0A024R8X6; Q8WUT3	
1468	F6RGN5; A0A0S2Z3G3; A0A0S2Z382; Q96BA1; Q96IP1; Q542Z3; B4E1E9; Q9UBX3	
1491	B4E1R2; Q9H4W8; Q9H4W7; P32929; Q53FB3; Q53Y79; E9PDV0	
15	J3KMZ5; A0AVF2; F1T0I5; Q16613; Q562F4	
1503	B4E1E0; B4DR64; Q96GK6; Q5VW67; P17812; D3DPW1	
150763	Q6P2E4; Q6ZWJ4; E9PE95; Q6NUI2; B4DNZ9; Q6ZNI5; Q6ZNI3	
151531	A0A0S2Z6U5; B3KV87; O95045; A0A0S2Z634	
153201	Q495M3; Q7Z6B5; Q495M4; Q495M6; Q6ZWK5	
1537	P08574; Q6FHS7; Q5U062	
154091	Q96MR8; Q8TD20; Q7Z6U3; B3KV17	
1543	A4F3W0; Q53G18; E7EMT5; A4F3V9; A0N0X8; P04798	
1544	P05177; Q9BXX7; Q16754; Q9UK49; Q6NWU5	
1545	Q53TK1; Q5TZW8; Q93089; Q16678; Q9H316	
1548	Q9UCU0; B2R7F6; Q4VAU0; Q4VAU1; P00190; Q9UK48; P11509; A7YAE5; Q4VAT9; P10890; Q9H1Z7; Q16803	
1549	Q13121; P20853; F8W816	
1551	Q9H241; P24462; A4D288	
155184	Q6PXP3; A2A333	
1553	Q16696; Q53YR8; Q6R570; Q6R569; Q9H2X2	
1555	P20813; B4DWP3; Q9UK46; Q2V565	
1557	Q9UCD4; P33259; P33261; Q8WZB1; Q8WZB2	
1558	B7Z1F5; A8K9N8; Q9UCZ9; P10632; B0AZN2; Q8WWB1; F5H7Q9; Q5VX93; B7Z1F6	
1559	Q16756; Q6IRV8; S5RV20; Q8WW80; Q5VX92; Q16872; P11712; P11713	
1562	Q7Z348; B2R8K2; Q16751; Q6GRG1; Q16703; P33260; Q4VAT5	
1565	Q5Y7H2; Q2XND6; Q6NXU8; C1ID52; P10635; Q2XNE0; Q2XND7; Q16752; Q6B012	
1571	Q6NWT9; Q9UK47; Q5VZD5; P05181	
1572	A7KAU7; A7KAU6; P24903; Q8WWJ2; A7KAU8; A7KAU9; A7KAV0; Q32MN5	
1573	Q8TF13; P51589; B2RD33	
157506	Q8IZV5; A0A024R7X6; E5RK48	
1576	P05184; Q16757; Q9UK50; P08684; Q6GRK0	
1577	Q53WY8; A4D289; B7Z5I7; P20815; Q9HB56; Q75MV0; B7Z3P6	
1579	Q16865; Q5VSP8; Q06766; Q16866; Q86SU6; Q8IWY5; Q02928	
158	Q5TI34; P30566; X5D8S6; O75495; B0QY76; X5D7W4	
1580	B4DV41; Q8WWV0; Q8IZB0; Q1HBI2; P13584; Q8TD85; Q8WWU9; Q8WWF2	
1581	P78454; Q7KZ19; P22680; Q3MIL8	
1582	Q6NWT2; O75958; Q6NWT3; Q9UNU6; B2RCY3	
1583	Q16805; A0A0S2Z3R3; G3XAD7; A8K8D5; B3KPU8; Q8N1A7; P05108; Q15081	
1584	Q9UML2; Q4VAQ8; Q8TDD0; P15538; Q4VAQ9; Q14095	
1585	B0ZBE4; P19099; Q16726	
1586	Q1HB44; Q5TZV7; P05093	
1588	Q3B764; Q58FA0; A0A024R5S8; Q8IYJ7; Q8TCA4; A8K6W3; Q05CU4; Q8IYG4; P11511; Q16731	
1589	Q5ST44; Q16874; P04033; Q16806; Q08AG9; Q01204; Q16749; P08686; A2BHY6; Q08AG8; Q96NU8	
159	A0A024R5Q7; B1AQM5; P30520; Q96EG7	
1591	Q15807; Q32ML3; Q07973; Q5I2W7	
1592	B3KNI4; O43174; Q5VXI0; Q5VXH9	
1593	A8K303; Q86YQ6; Q02318; Q6LDB4	
1594	O15528; B2RC61; Q548T3	
1595	O00772; Q16784; Q8N1A8; Q99868; B4DJ55; Q16850; B2RAI4; A0A0C4DFL7; O00770; A4D1F8	
159963	Q86UC7; Q1EHB4	
160287	Q6ZMR3; D3DQY5	
1603	Q53G02; P46966; P46968; P61803; Q6FGA3; O70364; Q96GB7; D3DS25; O08552	
160428	Q3SY69; Q68D62; Q8N922; B4DTU7; Q3SY68; Q6AI55	
1606	O75483; Q8N5Q2; P23743; O95217; Q3ZE25; A0A024RB23; O75481; Q8IZ56; O75482	
1607	Q2M377; Q86UI5; Q9Y6T7; O75241; Q75MU7; Q86UM9; B7ZL83; Q9UQ29; Q75MF9; B5MDK1; B5MBY2; B5MCD5; A4D116; A4D117; A8MXU2	
160728	Q7Z2H9; Q2TB99; Q8N695	
1608	Q5FWG1; Q2M1H4; B2RAH4; P49619	
160851	Q5VZW0; A2A2W7; B4DZ34; Q8N3N0; Q8N7J9; Q86XP1; A6NFX7; A8K0I1; Q6PI56; B4DYW1; Q86XP2	
1609	Q6P3W4; P52824; Q59FF7; A0A140VKC1	
1610	B2R7I5; Q16758; Q8N6R2; P14920; A0A024RBI1	
1621	Q96AG2; Q5T381; P09172	
1622	P08869; B8ZWD8; P07108; Q4VWZ6; B8ZWD2; B8ZWD6; Q53SQ7; Q9UCI8; Q6IB48; B8ZWD1; B8ZWD7; A0A024RAF2	
162417	Q2NKP2; B2RAZ9; Q8N159; Q8IWR4	
162466	Q17RU6; E9PAM0; Q8TCT1	
1629	P11182; B2R811; Q5VVL8	
1632	Q9BUB8; A8K512; Q7Z2L6; Q7Z2L7; Q9BW05; P42126; Q13290; Q9UDG6	
1633	F5CTF3; B2R8V6; P27707; Q6FI11; Q5TZY7	
1635	B2R836; Q5M7Z8; Q9BVD8; D3DP50; D3DP49; P32321	
1636	B4DKH4; B4DXI3; E7EU16; P22966; Q7M4L4; B0LPF0; Q53YX9; Q59GY8; P12821	
1638	P40126; Q09GT4	
1644	Q53Y41; P20711; C9IYA0; Q5W5T9; Q75MJ6; E7EU95; A0A087WV24; E7ER62; Q16723	
1645	Q7M4N2; Q9UCX2; Q04828; P52896; Q5SR15	
1650	O43244; Q5VWA5; B4DLI2; B2RDQ4; B4DJE3; Q8NI93; Q9BUI2; A0A024RAD5; P39656	
166012	Q3SYA5; Q8NET6; Q3SYA3	
1666	A0A024R9D7; Q93085; Q16698; B7Z6B8; Q2M304	
166785	Q495G7; B3KX40; Q8IVH4	
169355	F5H5G0; A4UD41; Q6ZQW0	
170712	Q8TF08; Q32Q40	
171425	Q8N0X4; Q5W0F7; Q8TDH8	
1716	Q16759; Q4ZG09; D6W5I0; Q16854; Q7L1W9; P78532; E5KSL6; Q96BC1; E5KSL5	
1717	Q9UBM7; O60492; O60717; B2R6Z2; A0A024R5F7	
1718	D3DQ51; Q15392; B7Z817; Q9HBA8	
1719	B0YJ76; B4DM58; B4DDD2; Q14130; P00374; Q6IRW8	
1723	Q6P176; Q02127; A8K8C8	
1727	B1AHF2; B7Z7L3; Q9UL56; Q8WTS8; O75675; Q8TDL8; Q9UEN4; Q9UEN5; P00387; Q9UL55	
1737	Q86YI5; P10515; Q16783; Q53EP3	
1738	P09622; E9PEX6; B2R5X0; Q14131; Q8WTS4; B4DHG0; Q59EV8; B4DT69; A0A024R713; Q14167	
1743	B7Z6J1; Q7LDY7; E7ESY5; B7Z5W8; P36957; Q9BQ32; A0A024R6C9	
175	B2R7H2; Q6FHN6; D3DP47; Q9UCK7; P20933; Q4W5Q2; Q9UCK6; Q9UCK8	
1757	Q5SYV0; B4DPI2; B7ZLT6; Q9Y280; Q9Y2Y3; Q9UL12; B2RMR5; A8K596	
178	P78354; P35573; P78544; D3DT51; A0A0S2A4E4; A6NEK2; Q59H92; Q6AZ90; A6NCX7; Q9UF08	
1786	B7ZLW6; P26358; Q59FP7; A0AV63; Q9ULA2; Q9UHG5; I6L9H2; Q9UMZ6	
1787	O14717; B0YJ08; B4DQZ2; O43669; B0YJ03; B0YJ07; B0YJ02; Q7Z3E4; Q6ICS7; Q86WW6; A0A0U1U562	
1788	Q8IZV0; Q86XF5; A0A0C4DG02; F8WE91; Q59HC6; Q9Y6K1; Q8WXU9; E9PEB8; Q86TE8	
1789	Q9UBC3; Q9UJQ5; Q9UKA6; E7EN63; E9PBF2; B4DSM8; E1P5M7; Q9Y5R9; Q9Y5S0; B4DSU1; Q9UBD4; A2A2E2; Q9UNE5; E1P5M6	
1798	Q9H3H5; Q86WV9; O15216; A0A024R3H8; Q9BWE6	
18	Q8N5W2; X5D8S1; P80404; A8K386; Q99800; Q16260; Q96BG2	
1800	P16444; Q96AK2; D3DX80; A0A140VJI3	
1806	A8K5A2; A8MWG9; E9PFN1; Q16761; A2RRQ3; Q32NB0; A2RRQ2; Q16694; Q12882; Q96TH1; B1AN21; Q96HL6	
1807	Q14117	
1808	Q59GB4; A8K5H2; Q16555; D3DSS7; B4DR31; O00424	
