ec,value,chebi,kegg,pubchem,hmdb
2.6.1.7,946800.0,16891;35910;53274,C00048,760,HMDB00119
2.6.1.7,12923.999999999998,57678,,4182595,
2.6.1.7,842400.0,57678,,4182595,
2.6.1.7,51840.0,17196;58048,C00152,6267;6992089,HMDB00168
2.6.1.7,17424.0,15753,C00322,71,HMDB00225
2.6.1.7,327600.0,17895;58315,C00082;D00022,6057;6942100,HMDB00158
2.6.1.7,1220400.0,15603;57427,C00123;D00030,6106;7045798,HMDB00687
2.6.1.7,1295.9999999999998,32816,C00022,1060,HMDB00243
2.6.1.7,104400.0,32816,C00022,1060,HMDB00243
2.7.1.59,117.00000000000001,28401;506227,C00140,439174,
5.3.99.2,9504.0,15554,C00427,445049,HMDB01381
5.3.99.3,75600.0,16856;60836,C00051;C02471;D00014,124886;25246407,HMDB00125
5.3.99.3,25200.0,15554,C00427,445049,HMDB01381
5.3.99.3,180000.0,15554,C00427,445049,HMDB01381
5.3.99.3,180000.0,15554,C00427,445049,HMDB01381
5.3.99.3,270000.0,27647,C05956,5280883,HMDB03235
5.3.99.3,270000.0,27647,C05956,5280883,HMDB03235
3.1.3.1,331200.0,18405,C00018,1051,HMDB01491
3.1.3.1,878400.0,29888,C00013,1023;21961011,
2.1.1.37,208.8,15414;59789,,24762165;34756,
1.1.1.21,558.0,16619;26199;28600,C01126;C06081,445070,HMDB04305
1.1.1.21,1800.0,16619;26199;28600,C01126;C06081,445070,HMDB04305
1.1.1.21,1551.6,15693;5445,C02154,751,HMDB01051
1.1.1.21,61.2,77417,D05097,8209,HMDB11638
1.1.1.21,234.00000000000003,35986,C14696,8914,
1.1.1.21,4500.0,27836,C02278,8194,
1.1.1.21,2700.0,,,55297134,
1.1.1.21,9000.0,,C07327,10371,
1.1.1.21,601.2,17987,C00556;C03485;D00077,244,HMDB03119
1.1.1.21,6120.0,53455,C00181;D06346,135191,HMDB00098
1.1.1.21,2808.0000000000005,41607,C19377,447466,
1.1.1.21,4032.0,27539,C11129,7054,
1.1.1.21,4932.0,17935,C01545,454,HMDB01140
1.1.1.21,6228.0,17169,C00193;C00261,240,HMDB06115
1.1.1.21,280.79999999999995,,C09094,5281365,
1.1.1.21,594.0,,C09094,5281365,
1.1.1.21,4032.0,34779,C14448,7860,
1.1.1.21,21.599999999999998,,,542673,
1.1.1.21,14.399999999999999,36729,,92747,HMDB03069
1.1.1.21,28.799999999999997,78594,,22211699,
1.1.1.21,4824.0,61726,,5283335,
1.1.1.21,5148.0,17998,C02373,129,HMDB01318
